"Updates","params_6","params_10","params_3","params_9","params_7","params_1","params_4","params_8","params_2","params_5"
"720.0","204.07142857142858","616.5","nan","nan","nan","288.29166666666663","327.0","nan","553.0","305.0"
"730.0","255.8","nan","nan","nan","nan","401.27536231884056","124.25","nan","248.0","nan"
"740.0","274.5217391304348","667.0","nan","nan","130.0","461.0206896551724","540.5","nan","815.0","537.0"
"750.0","232.1818181818182","nan","nan","nan","123.0","369.4345238095238","nan","nan","nan","nan"
"760.0","333.52941176470586","nan","nan","nan","nan","358.27638888888885","106.0","nan","nan","586.5"
"770.0","374.29411764705884","nan","nan","nan","nan","432.0121951219512","nan","nan","847.0","nan"
"780.0","350.06666666666666","nan","nan","nan","nan","395.54964539007096","145.5","nan","nan","nan"
"790.0","229.26315789473685","nan","nan","nan","nan","241.5142857142857","486.0","nan","183.0","nan"
"800.0","347.3333333333333","nan","nan","nan","nan","190.79824561403507","824.0","583.5","nan","nan"
"810.0","196.96666666666667","nan","nan","nan","nan","486.3047619047619","nan","663.5","nan","nan"
"820.0","299.1666666666667","nan","nan","nan","nan","323.3814102564103","nan","nan","690.0","nan"
"830.0","520.75","nan","nan","nan","nan","359.9313725490196","195.0","764.0","nan","nan"
"840.0","329.36","nan","nan","nan","nan","351.47457627118644","nan","nan","nan","nan"
"850.0","283.25","nan","nan","nan","nan","543.9772727272727","nan","846.0","nan","nan"
"860.0","209.78571428571428","nan","nan","nan","nan","442.9375","nan","916.0","663.0","457.0"
"870.0","294.63","nan","nan","nan","173.0","487.0735294117647","nan","nan","nan","nan"
"880.0","327.525","710.5","nan","nan","nan","423.2916666666667","nan","nan","nan","nan"
"890.0","324.3","956.0","nan","nan","nan","307.27806122448976","84.0","nan","305.5","nan"
"900.0","217.12","860.0","nan","nan","nan","435.1969696969697","132.5","nan","529.0","nan"
"910.0","298.0","nan","nan","nan","nan","445.8545454545455","nan","nan","754.0","nan"
"920.0","307.5882352941176","nan","nan","nan","177.0","410.3461538461538","173.0","nan","151.0","nan"
"930.0","250.11764705882354","423.0","nan","nan","nan","225.1509433962264","244.0","nan","454.0","nan"
"940.0","216.0","191.0","nan","nan","130.0","213.18","101.0","nan","402.25","nan"
"950.0","282.6071428571429","710.0","nan","nan","nan","255.03","111.0","nan","431.75","nan"
"960.0","299.93333333333334","nan","nan","nan","nan","274.2093023255814","nan","325.0","731.5","nan"
"970.0","246.38888888888889","nan","nan","nan","nan","453.5","169.0","nan","191.5","504.0"
"980.0","354.22222222222223","nan","nan","nan","104.5","211.0625","106.0","nan","nan","nan"
"990.0","345.1333333333333","167.0","nan","nan","156.5","245.7872340425532","nan","176.0","423.5","nan"
"1000.0","321.05882352941177","nan","nan","nan","nan","217.0188679245283","372.0","nan","189.5","nan"
"1010.0","310.4","nan","nan","nan","nan","257.1914893617021","210.0","nan","nan","nan"
"1020.0","351.3888888888889","763.0","nan","nan","242.0","215.13333333333333","167.0","182.0","287.0","nan"
"1030.0","410.6363636363636","264.0","nan","nan","nan","272.4054054054054","nan","nan","352.0","nan"
"1040.0","368.8666666666667","nan","nan","nan","138.0","249.5581395348837","nan","196.0","526.0","981.0"
"1050.0","348.26666666666665","nan","nan","72.0","nan","245.03947368421052","nan","nan","510.5","nan"
"1060.0","423.84615384615387","nan","nan","nan","nan","197.51612903225808","nan","171.0","472.0","nan"
"1070.0","375.8181818181818","nan","nan","nan","nan","215.7","nan","nan","592.75","755.0"
"1080.0","301.26666666666665","nan","nan","nan","nan","183.26153846153846","118.0","nan","436.1666666666667","nan"
"1090.0","256.35","433.5","nan","nan","nan","220.4181818181818","109.66666666666667","nan","693.0","nan"
"1100.0","264.3461538461538","nan","nan","nan","nan","227.32075471698113","104.0","734.0","847.0","nan"
"1110.0","275.0","nan","nan","nan","nan","230.1590909090909","87.0","nan","774.1666666666667","nan"
"1120.0","494.4","nan","nan","nan","nan","208.19230769230768","131.0","nan","259.16666666666663","nan"
"1130.0","318.73333333333335","nan","nan","nan","nan","203.36666666666667","341.0","395.0","nan","nan"
"1140.0","258.975","nan","nan","nan","nan","209.2549019607843","nan","nan","887.8333333333333","nan"
"1150.0","286.10526315789474","nan","nan","91.0","nan","206.56603773584905","nan","nan","566.0","nan"
"1160.0","229.30769230769232","805.0","nan","nan","nan","208.3272727272727","nan","nan","500.75","nan"
"1170.0","338.88235294117646","743.0","nan","nan","nan","200.54237288135593","119.66666666666667","nan","748.5","nan"
"1180.0","279.8125","nan","nan","nan","nan","210.8148148148148","141.0","nan","384.0","nan"
"1190.0","265.6842105263158","nan","nan","nan","nan","199.04918032786884","nan","nan","256.0","nan"
"1200.0","291.73333333333335","nan","nan","62.0","nan","212.40384615384616","nan","nan","842.0","nan"
"1210.0","287.25","nan","nan","nan","nan","184.53731343283582","92.0","164.0","608.0","nan"
"1220.0","545.75","nan","nan","nan","nan","195.09615384615384","nan","nan","477.25","nan"
"1230.0","252.8","510.0","nan","nan","nan","210.1320754716981","122.5","nan","796.5","nan"
"1240.0","489.6","nan","nan","nan","nan","204.79245283018867","nan","nan","73.0","nan"
"1250.0","290.72222222222223","nan","nan","nan","nan","186.25","130.0","nan","266.0","nan"
"1260.0","286.2857142857143","197.0","nan","232.0","nan","201.67241379310346","nan","nan","989.0","nan"
"1270.0","590.7727272727273","nan","nan","nan","634.0","383.066037735849","nan","nan","70.0","nan"
"1280.0","307.2857142857143","nan","nan","nan","nan","200.74074074074073","nan","263.0","517.8333333333334","717.5"
"1290.0","299.0","751.0","nan","132.5","nan","190.47619047619048","nan","nan","nan","326.0"
"1300.0","333.0625","303.5","nan","168.0","nan","235.9318181818182","141.0","nan","289.5","nan"
"1310.0","600.4722222222222","nan","nan","nan","nan","195.2037037037037","nan","nan","160.0","nan"
"1320.0","281.92857142857144","nan","nan","81.0","nan","322.52777777777777","nan","nan","595.4","nan"
"1330.0","262.63157894736844","nan","nan","nan","685.0","221.37209302325581","nan","nan","889.0","nan"
"1340.0","344.375","120.0","88.0","79.0","nan","190.609756097561","187.0","nan","785.0","nan"
"1350.0","357.57142857142856","nan","nan","71.0","847.5","187.12727272727273","nan","nan","689.0","nan"
"1360.0","415.6","nan","nan","nan","72.0","234.1081081081081","104.0","nan","701.5","nan"
"1370.0","411.08333333333337","337.0","nan","62.0","nan","499.75961538461536","nan","nan","481.5","nan"
"1380.0","330.15384615384613","nan","nan","nan","nan","208.35135135135135","436.3333333333333","nan","449.0","nan"
"1390.0","269.6","nan","nan","62.0","nan","191.70731707317074","873.0","nan","nan","705.0"
"1400.0","618.53125","nan","nan","nan","179.5","207.14893617021278","356.25","nan","nan","nan"
"1410.0","556.2631578947369","nan","nan","nan","nan","166.20754716981133","nan","687.0","nan","830.0"
"1420.0","457.1","nan","nan","96.5","nan","177.80357142857142","151.5","nan","667.0","506.42857142857144"
"1430.0","681.9444444444445","nan","nan","nan","nan","195.46666666666667","nan","nan","260.0","509.0"
"1440.0","314.42857142857144","nan","nan","nan","nan","213.35714285714286","nan","104.0","nan","489.6666666666667"
"1450.0","539.1111111111111","424.0","nan","85.0","116.0","207.93333333333334","nan","nan","125.0","426.5"
"1460.0","287.2857142857143","920.0","nan","nan","nan","192.84126984126985","212.0","nan","nan","461.3333333333333"
"1470.0","225.6304347826087","nan","nan","nan","82.0","168.27272727272728","894.0","nan","239.0","339.0"
"1480.0","403.5","nan","nan","nan","nan","193.984126984127","nan","nan","583.0","482.2"
"1490.0","307.44444444444446","nan","nan","nan","413.5","214.26415094339623","138.0","nan","321.0","422.64285714285717"
"1500.0","178.33333333333334","nan","nan","nan","nan","171.4","nan","nan","519.0","360.9375"
"1510.0","237.96","nan","nan","nan","283.3333333333333","215.2982456140351","548.0","nan","168.25","429.5263157894737"
"1520.0","254.66666666666666","nan","nan","44.0","nan","207.73214285714286","152.0","103.0","83.0","369.23809523809524"
"1530.0","248.28","nan","nan","163.0","nan","267.8181818181818","nan","nan","177.0","376.52941176470586"
"1540.0","210.33333333333334","nan","nan","nan","nan","186.9090909090909","nan","nan","202.25","261.6111111111111"
"1550.0","272.65","695.0","nan","69.0","nan","251.8048780487805","392.0","nan","389.5","292.8"
"1560.0","241.0","nan","nan","nan","nan","180.77966101694915","nan","nan","nan","511.07142857142856"
"1570.0","246.04","nan","nan","71.0","nan","206.97674418604652","103.0","nan","740.0","434.8333333333333"
"1580.0","201.1304347826087","nan","nan","nan","141.0","216.1707317073171","132.0","nan","141.0","636.8611111111111"
"1590.0","217.3","nan","nan","nan","nan","220.7659574468085","152.5","nan","nan","419.2368421052631"
"1600.0","223.0","nan","nan","nan","456.0","299.76666666666665","147.0","nan","648.5","315.89285714285717"
"1610.0","237.0","nan","nan","109.0","585.0","223.0","nan","nan","560.0","330.0"
"1620.0","199.16666666666669","104.0","nan","nan","nan","197.53191489361703","568.0","nan","513.0","318.05882352941177"
"1630.0","247.58823529411765","nan","nan","nan","176.0","394.2261904761905","406.0","nan","303.5","389.8333333333333"
"1640.0","250.0","nan","nan","nan","nan","191.91666666666666","nan","nan","542.0","460.9"
"1650.0","572.475","nan","nan","nan","nan","260.52777777777777","nan","nan","254.0","308.73333333333335"
"1660.0","204.96153846153845","nan","nan","nan","nan","187.36458333333331","nan","nan","459.5","372.01724137931035"
"1670.0","247.95454545454547","nan","nan","nan","nan","201.17391304347825","515.75","nan","646.0","358.07037037037037"
"1680.0","160.85714285714286","nan","nan","nan","nan","218.90243902439025","448.25","nan","324.0","432.9204545454545"
