"Updates","params_6","params_10","params_3","params_9","params_7","params_1","params_4","params_8","params_2","params_5"
"10.0","0.48989794855663565","0.7483314773547883","0.6324555320336759","0.4","0.7999999999999999","0.7999999999999999","0.48989794855663565","0.4","0.4","0.48989794855663565"
"20.0","0.4000000000000001","0.8000000000000002","0.0","0.7999999999999999","0.4","0.48989794855663565","0.7999999999999999","0.48989794855663565","0.0","0.48989794855663565"
"30.0","0.0","0.7999999999999999","0.7483314773547883","1.2000000000000002","0.4","0.48989794855663565","0.4000000000000001","0.4000000000000001","0.0","0.4"
"40.0","0.0","0.48989794855663565","0.4","0.8","0.7483314773547883","0.7483314773547883","0.4000000000000001","0.0","0.0","0.4"
"50.0","0.4000000000000001","0.0","0.0","0.4000000000000001","0.4","0.48989794855663565","1.1661903789690602","0.4","0.0","0.4"
"60.0","0.0","0.4000000000000001","0.0","0.8000000000000002","0.0","1.1661903789690602","0.0","0.0","0.0","0.4"
"70.0","0.4000000000000001","0.4","0.0","0.0","0.7483314773547883","0.4","0.4000000000000001","0.0","0.4000000000000001","0.48989794855663565"
"80.0","0.4000000000000001","1.1661903789690602","0.0","0.4","0.4000000000000001","0.7999999999999999","0.0","0.0","0.4000000000000001","0.7999999999999999"
"90.0","0.0","0.0","0.0","0.4","0.4","0.0","0.0","0.0","0.48989794855663565","0.8"
"100.0","0.4000000000000001","0.8000000000000002","0.0","0.0","0.0","0.0","0.0","0.0","0.48989794855663565","0.0"
"110.0","0.4000000000000001","0.0","0.0","0.4000000000000001","0.48989794855663565","0.48989794855663565","0.0","0.0","0.4000000000000001","0.48989794855663565"
"120.0","0.4","0.4","0.0","0.4000000000000001","0.48989794855663565","0.48989794855663565","0.0","0.0","0.4000000000000001","0.7999999999999999"
"130.0","0.0","0.0","0.0","0.0","0.4000000000000001","0.7999999999999999","0.7483314773547883","0.4000000000000001","0.0","0.48989794855663565"
"140.0","0.4000000000000001","0.0","0.4","0.0","0.4000000000000001","0.8","0.8","0.4000000000000001","0.48989794855663565","0.4"
"150.0","0.48989794855663565","0.4","0.4","0.4","0.4000000000000001","0.48989794855663565","0.4","0.4000000000000001","0.0","1.1661903789690602"
"160.0","0.7999999999999999","0.4000000000000001","0.0","0.0","0.0","0.48989794855663565","1.2","0.0","0.4000000000000001","0.4000000000000001"
"170.0","0.0","0.0","0.4000000000000001","0.0","0.0","0.4000000000000001","0.4","0.0","0.4","1.1661903789690602"
"180.0","0.4000000000000001","0.0","0.0","0.0","0.0","0.4000000000000001","2.0","0.0","0.0","0.48989794855663565"
"190.0","0.4000000000000001","1.2","0.0","0.48989794855663565","0.48989794855663565","0.8","1.6","0.0","0.0","0.7483314773547883"
"200.0","0.0","0.4","0.0","0.0","0.8","0.0","0.4","0.8000000000000002","0.0","0.0"
"210.0","0.0","0.0","0.0","0.0","0.0","0.4000000000000001","0.8","0.0","0.4000000000000001","0.4000000000000001"
"220.0","0.4000000000000001","0.0","0.0","0.0","0.4","0.0","1.1661903789690602","0.0","0.4000000000000001","0.0"
"230.0","0.4","0.0","0.0","0.4000000000000001","0.0","0.7999999999999999","0.4","0.0","0.4000000000000001","0.0"
"240.0","0.0","0.4000000000000001","0.0","0.0","0.0","0.8","1.6","0.0","0.0","0.0"
"250.0","0.4","0.0","0.0","0.0","0.0","0.8000000000000002","0.0","0.0","0.4000000000000001","0.4"
"260.0","0.0","0.0","0.0","0.0","0.0","0.9797958971132713","0.8","0.4000000000000001","0.48989794855663565","0.4"
"270.0","0.0","0.0","0.0","0.0","0.4","0.0","2.33238075793812","0.0","0.48989794855663565","1.2"
"280.0","0.0","0.0","0.0","0.0","0.0","0.4","1.2","0.0","0.4000000000000001","0.0"
"290.0","0.4000000000000001","0.0","0.0","0.4000000000000001","0.0","1.1661903789690602","1.6","0.4000000000000001","0.0","0.4000000000000001"
"300.0","0.0","0.4","0.0","0.0","0.0","1.2","0.4","0.0","0.4000000000000001","0.0"
"310.0","0.0","0.0","0.0","0.0","0.4000000000000001","0.7999999999999999","0.4000000000000001","0.8000000000000002","0.4","0.0"
"320.0","0.0","0.4000000000000001","0.0","0.0","0.0","2.0","0.4","0.0","0.48989794855663565","0.0"
