"Updates","params_6","params_10","params_3","params_9","params_7","params_1","params_4","params_8","params_2","params_5"
"690.0","4.6","0.0","0.0","0.0","0.4","7.2","0.2","0.0","0.2","0.0"
"700.0","3.6","0.4","0.0","0.0","0.2","2.8","0.2","0.0","0.2","0.0"
"710.0","2.6","0.0","0.0","0.2","0.0","5.4","0.4","0.0","0.0","0.0"
"720.0","4.4","0.4","0.0","0.0","0.0","5.6","0.2","0.0","0.4","0.4"
"730.0","5.0","0.0","0.0","0.0","0.0","5.2","0.8","0.0","0.4","0.0"
"740.0","4.6","0.2","0.0","0.0","0.2","6.8","0.4","0.0","0.2","0.4"
"750.0","4.4","0.0","0.0","0.0","0.2","6.2","0.0","0.0","0.0","0.0"
"760.0","3.4","0.0","0.0","0.0","0.0","9.8","0.2","0.0","0.0","0.4"
"770.0","3.4","0.0","0.0","0.0","0.0","9.6","0.0","0.0","0.2","0.0"
"780.0","3.0","0.0","0.0","0.0","0.0","10.0","0.4","0.0","0.0","0.0"
"790.0","3.8","0.0","0.0","0.0","0.0","7.2","0.2","0.0","0.2","0.0"
"800.0","3.6","0.0","0.0","0.0","0.0","11.6","0.2","0.4","0.0","0.0"
"810.0","3.2","0.0","0.0","0.0","0.0","8.2","0.0","0.4","0.0","0.0"
"820.0","3.6","0.0","0.0","0.0","0.0","11.0","0.0","0.0","0.2","0.0"
"830.0","3.8","0.0","0.0","0.0","0.0","10.8","0.2","0.2","0.0","0.0"
"840.0","5.4","0.0","0.0","0.0","0.0","12.0","0.0","0.0","0.0","0.0"
"850.0","4.0","0.0","0.0","0.0","0.0","9.0","0.0","0.2","0.0","0.0"
"860.0","4.4","0.0","0.0","0.0","0.0","8.6","0.0","0.2","0.4","0.2"
"870.0","5.4","0.0","0.0","0.0","0.2","10.6","0.0","0.0","0.0","0.0"
"880.0","4.4","0.8","0.0","0.0","0.0","11.6","0.0","0.0","0.0","0.0"
"890.0","4.0","0.2","0.0","0.0","0.0","10.6","0.2","0.0","0.4","0.0"
"900.0","5.2","0.2","0.0","0.0","0.0","14.2","0.4","0.0","1.0","0.0"
"910.0","3.6","0.0","0.0","0.0","0.0","11.2","0.0","0.0","0.4","0.0"
"920.0","3.4","0.0","0.0","0.0","0.2","10.8","0.4","0.0","0.2","0.0"
"930.0","3.4","0.2","0.0","0.0","0.0","10.6","0.2","0.0","0.6","0.0"
"940.0","3.2","0.4","0.0","0.0","0.2","10.0","0.2","0.0","1.0","0.0"
"950.0","3.0","0.2","0.0","0.0","0.0","10.2","0.2","0.0","0.6","0.0"
"960.0","3.0","0.0","0.0","0.0","0.0","8.6","0.0","0.2","0.8","0.0"
"970.0","3.6","0.0","0.0","0.0","0.0","10.4","0.2","0.0","0.6","0.2"
"980.0","3.6","0.0","0.0","0.0","0.6","9.6","0.2","0.0","0.0","0.0"
"990.0","3.0","0.2","0.0","0.0","0.4","9.4","0.0","0.2","0.6","0.0"
"1000.0","3.4","0.0","0.0","0.0","0.0","10.6","0.2","0.0","0.4","0.0"
"1010.0","2.0","0.0","0.0","0.0","0.0","9.4","0.2","0.0","0.0","0.0"
"1020.0","3.6","0.2","0.0","0.0","0.2","9.0","0.2","0.2","0.2","0.0"
"1030.0","2.2","0.2","0.0","0.0","0.0","7.4","0.0","0.0","0.4","0.0"
"1040.0","3.0","0.0","0.0","0.0","0.2","8.6","0.0","0.2","0.2","0.2"
"1050.0","3.0","0.0","0.0","0.2","0.0","11.8","0.0","0.0","0.4","0.0"
"1060.0","2.6","0.0","0.0","0.0","0.0","12.4","0.0","0.2","0.8","0.0"
"1070.0","2.2","0.0","0.0","0.0","0.0","10.0","0.0","0.0","0.6","0.2"
"1080.0","4.0","0.0","0.0","0.0","0.0","13.0","0.2","0.0","0.8","0.0"
"1090.0","4.2","0.4","0.0","0.0","0.0","11.0","0.6","0.0","1.0","0.0"
"1100.0","2.8","0.0","0.0","0.0","0.0","10.6","0.2","0.2","0.4","0.0"
"1110.0","4.6","0.0","0.0","0.0","0.0","8.8","0.2","0.0","0.8","0.0"
"1120.0","2.0","0.0","0.0","0.0","0.0","10.4","0.4","0.0","0.8","0.0"
"1130.0","3.0","0.0","0.0","0.0","0.0","12.0","0.2","0.2","0.0","0.0"
"1140.0","4.2","0.0","0.0","0.0","0.0","10.2","0.0","0.0","0.8","0.0"
"1150.0","3.8","0.0","0.0","0.2","0.0","10.6","0.0","0.0","0.2","0.0"
"1160.0","5.2","0.2","0.0","0.0","0.0","11.0","0.0","0.0","0.6","0.0"
"1170.0","3.4","0.2","0.0","0.0","0.0","11.8","0.6","0.0","0.4","0.0"
"1180.0","3.2","0.0","0.0","0.0","0.0","10.8","0.2","0.0","0.6","0.0"
"1190.0","3.8","0.0","0.0","0.0","0.0","12.2","0.0","0.0","0.2","0.0"
"1200.0","3.0","0.0","0.0","0.2","0.0","10.4","0.0","0.0","0.2","0.0"
"1210.0","1.6","0.0","0.0","0.0","0.0","13.4","0.2","0.4","0.6","0.0"
"1220.0","3.4","0.0","0.0","0.0","0.0","10.4","0.0","0.0","1.0","0.0"
"1230.0","2.0","0.2","0.0","0.0","0.0","10.6","0.4","0.0","0.4","0.0"
"1240.0","1.0","0.0","0.0","0.0","0.0","10.6","0.0","0.0","0.2","0.0"
"1250.0","3.6","0.0","0.0","0.0","0.0","9.6","0.4","0.0","0.4","0.0"
"1260.0","4.2","0.2","0.0","0.2","0.0","11.6","0.0","0.0","0.2","0.0"
"1270.0","2.4","0.0","0.0","0.0","0.2","10.8","0.0","0.0","0.4","0.0"
"1280.0","2.8","0.0","0.0","0.0","0.0","10.8","0.0","0.2","1.0","0.6"
"1290.0","2.4","0.4","0.0","0.4","0.0","8.4","0.0","0.0","0.0","0.2"
"1300.0","3.2","0.4","0.0","0.2","0.0","8.8","0.2","0.0","0.4","0.0"
"1310.0","3.8","0.0","0.0","0.0","0.0","10.8","0.0","0.0","0.6","0.0"
"1320.0","3.0","0.0","0.0","0.2","0.0","11.0","0.0","0.0","1.0","0.0"
"1330.0","3.8","0.0","0.0","0.0","0.2","8.6","0.0","0.0","0.2","0.0"
"1340.0","3.2","0.2","0.2","0.2","0.0","8.2","0.2","0.0","0.4","0.0"
"1350.0","1.4","0.0","0.0","0.2","0.4","11.0","0.0","0.0","0.4","0.0"
"1360.0","2.0","0.0","0.0","0.0","0.2","7.4","0.2","0.0","0.4","0.0"
"1370.0","2.6","0.2","0.0","0.2","0.0","10.6","0.0","0.0","0.4","0.0"
"1380.0","2.6","0.0","0.0","0.0","0.0","7.4","0.6","0.0","0.4","0.0"
"1390.0","2.0","0.0","0.0","0.2","0.0","8.2","0.2","0.0","0.0","0.2"
"1400.0","3.4","0.0","0.0","0.0","0.6","9.4","1.0","0.0","0.0","0.0"
"1410.0","4.2","0.0","0.0","0.0","0.0","10.6","0.0","0.2","0.0","0.2"
"1420.0","2.0","0.0","0.0","0.4","0.0","11.2","0.4","0.0","0.2","1.4"
"1430.0","2.0","0.0","0.0","0.0","0.0","12.0","0.0","0.0","0.4","0.8"
"1440.0","2.8","0.0","0.0","0.0","0.0","11.2","0.0","0.2","0.0","1.8"
"1450.0","3.8","0.2","0.0","0.2","0.2","12.0","0.0","0.0","0.2","0.8"
"1460.0","2.8","0.2","0.0","0.0","0.0","12.6","0.4","0.0","0.0","1.8"
"1470.0","4.8","0.0","0.0","0.0","0.4","11.0","0.2","0.0","0.6","2.0"
"1480.0","3.6","0.0","0.0","0.0","0.0","12.6","0.0","0.0","0.2","1.0"
"1490.0","4.2","0.0","0.0","0.0","0.4","10.6","0.2","0.0","0.2","2.8"
"1500.0","4.8","0.0","0.0","0.0","0.0","14.0","0.0","0.0","0.2","3.2"
"1510.0","5.0","0.0","0.0","0.0","0.8","11.4","0.6","0.0","0.6","3.8"
"1520.0","3.6","0.0","0.0","0.2","0.0","11.2","0.2","0.2","0.2","4.2"
"1530.0","5.0","0.0","0.0","0.2","0.0","8.8","0.0","0.0","0.2","3.4"
"1540.0","4.2","0.0","0.0","0.0","0.0","13.2","0.0","0.0","0.6","2.0"
"1550.0","4.0","0.2","0.0","0.2","0.0","8.2","0.2","0.0","0.6","2.0"
"1560.0","3.4","0.0","0.0","0.0","0.0","11.8","0.0","0.0","0.0","2.8"
"1570.0","5.0","0.0","0.0","0.2","0.0","8.6","0.2","0.0","0.2","4.8"
"1580.0","4.6","0.0","0.0","0.0","0.2","8.4","0.2","0.0","0.4","3.8"
"1590.0","6.0","0.0","0.0","0.0","0.0","9.4","0.4","0.0","0.0","4.0"
"1600.0","4.2","0.0","0.0","0.0","0.2","6.0","0.2","0.0","0.4","5.6"
"1610.0","3.0","0.0","0.0","0.2","0.4","8.0","0.0","0.0","0.2","3.8"
"1620.0","3.0","0.2","0.0","0.0","0.0","9.4","0.4","0.0","0.8","3.6"
"1630.0","3.4","0.0","0.0","0.0","0.2","8.8","0.2","0.0","0.6","3.6"
"1640.0","4.8","0.0","0.0","0.0","0.0","9.6","0.0","0.0","0.2","6.8"
"1650.0","4.2","0.0","0.0","0.0","0.0","7.6","0.0","0.0","0.2","4.4"
"1660.0","5.2","0.0","0.0","0.0","0.0","9.8","0.0","0.0","0.6","6.8"
"1670.0","4.4","0.0","0.0","0.0","0.0","9.2","0.8","0.0","0.4","6.4"
"1680.0","2.8","0.0","0.0","0.0","0.0","8.2","0.8","0.0","0.4","5.2"
"1690.0","5.6","0.2","0.0","0.0","0.0","10.8","0.6","0.0","0.8","7.6"
"1700.0","4.6","0.2","0.0","0.0","0.0","10.0","0.2","0.0","0.8","7.4"
"1710.0","7.0","0.0","0.0","0.2","0.2","9.8","0.4","0.0","0.0","6.2"
"1720.0","5.0","0.0","0.0","0.2","0.0","7.8","0.6","0.0","0.2","4.8"
"1730.0","5.6","0.0","0.4","0.2","0.0","6.8","0.0","0.0","0.4","6.4"
"1740.0","3.4","0.0","0.0","0.0","0.0","9.8","0.2","0.0","0.6","8.0"
"1750.0","5.4","0.0","0.0","0.0","0.0","7.4","0.0","0.0","0.8","6.8"
"1760.0","6.8","0.0","0.0","0.0","0.2","6.2","0.0","0.0","0.0","8.6"
"1770.0","4.8","0.0","0.0","0.0","0.2","7.6","0.2","0.0","0.4","8.6"
"1780.0","5.8","0.0","0.0","0.0","0.0","6.4","0.0","0.0","0.2","10.4"
"1790.0","5.2","0.0","0.0","0.0","0.0","8.8","0.0","0.0","0.0","12.0"
"1800.0","3.6","0.0","0.0","0.0","0.2","10.2","0.0","0.0","0.4","12.6"
"1810.0","6.2","0.4","0.0","0.0","0.2","8.8","0.0","0.0","0.6","11.0"
"1820.0","7.2","1.0","0.0","0.0","0.2","9.6","0.0","0.0","0.8","14.0"
"1830.0","6.2","1.0","0.0","0.0","0.0","11.4","0.0","0.0","0.2","14.4"
"1840.0","5.0","2.2","0.0","0.0","0.0","9.4","0.0","0.0","0.6","16.0"
"1850.0","5.2","1.8","0.0","0.0","0.0","9.6","0.2","0.0","0.2","15.2"
"1860.0","4.2","2.4","0.0","0.0","0.2","10.2","0.4","0.0","0.4","13.8"
"1870.0","5.8","3.2","0.0","0.0","0.2","9.6","0.0","0.0","0.0","17.0"
"1880.0","5.8","1.2","0.2","0.0","0.0","9.4","0.2","0.0","0.0","17.8"
"1890.0","5.6","2.8","0.0","0.0","0.0","8.0","0.0","0.0","0.8","20.2"
"1900.0","3.6","2.4","0.0","0.0","0.2","8.4","0.0","0.0","0.4","21.8"
"1910.0","6.8","3.0","0.0","0.0","0.2","11.0","0.2","0.0","0.6","21.4"
"1920.0","7.2","3.0","0.0","0.2","0.0","7.6","0.0","0.0","0.0","24.0"
"1930.0","6.4","4.0","0.0","0.2","0.0","9.8","0.0","0.0","0.0","16.4"
"1940.0","5.2","2.8","0.0","0.2","0.4","11.4","0.0","0.0","0.6","18.8"
"1950.0","3.8","2.0","0.0","0.0","0.2","9.8","0.0","0.0","0.4","22.0"
"1960.0","3.0","1.8","0.0","0.0","0.8","10.0","0.0","0.0","0.0","22.0"
"1970.0","4.6","2.6","0.2","0.0","0.2","12.6","0.0","0.0","0.2","23.4"
"1980.0","5.0","3.8","0.0","0.2","0.0","10.2","0.0","0.0","0.2","26.4"
"1990.0","3.2","2.8","0.4","0.0","0.2","10.6","0.0","0.0","0.0","27.2"
"2000.0","4.6","2.8","0.0","0.0","0.2","13.2","0.0","0.0","0.8","33.4"
"2010.0","5.8","3.4","0.0","0.0","0.0","12.0","0.0","0.0","0.6","31.8"
"2020.0","5.2","4.4","0.0","0.0","0.0","13.6","0.4","0.0","0.2","26.2"
"2030.0","6.8","3.6","0.0","0.0","0.6","9.6","0.2","0.0","0.4","27.6"
"2040.0","6.4","3.4","0.0","0.0","1.0","12.2","0.2","0.0","0.2","31.8"
"2050.0","6.8","3.6","0.0","0.2","0.4","10.6","0.0","0.0","0.0","28.4"
"2060.0","6.8","5.0","0.0","0.0","0.0","10.6","0.0","0.0","0.0","31.0"
"2070.0","6.4","3.8","0.2","0.0","0.2","11.6","0.0","0.0","0.4","31.6"
"2080.0","5.4","4.2","0.0","0.0","0.2","11.6","0.4","0.0","0.4","32.8"
"2090.0","6.0","3.2","0.0","0.0","0.4","11.6","0.2","0.0","0.4","31.4"
"2100.0","6.0","5.0","0.0","0.0","0.0","10.6","0.2","0.0","0.8","31.8"
"2110.0","6.0","3.6","0.0","0.2","0.0","13.8","0.0","0.0","0.6","29.0"
"2120.0","6.4","3.6","0.0","0.0","0.0","10.6","0.0","0.0","0.6","28.8"
"2130.0","7.8","4.6","0.4","0.2","0.0","10.8","0.6","0.0","0.6","27.6"
"2140.0","5.6","4.6","0.2","0.0","0.0","10.8","0.0","0.0","0.0","31.6"
"2150.0","5.0","3.2","0.0","0.2","0.0","12.8","0.4","0.0","0.2","29.2"
"2160.0","7.0","3.2","0.0","0.2","0.0","10.8","0.0","0.0","0.4","28.2"
"2170.0","7.2","3.4","0.0","0.0","0.0","11.6","0.0","0.0","0.0","29.8"
"2180.0","8.8","3.6","0.0","0.0","0.0","9.6","0.2","0.0","0.0","33.6"
"2190.0","5.6","5.4","0.0","0.0","0.0","11.8","0.2","0.0","1.0","28.8"
"2200.0","5.8","5.4","0.0","0.0","0.0","12.0","0.0","0.0","0.2","29.4"
"2210.0","7.4","4.2","0.0","0.0","0.0","13.0","0.0","0.0","0.0","29.8"
"2220.0","7.4","4.4","0.0","0.0","0.0","11.2","0.0","0.0","1.2","30.0"
"2230.0","9.0","4.0","0.0","0.0","0.0","11.6","0.6","0.0","0.0","31.8"
"2240.0","7.8","5.0","0.0","0.4","0.2","10.6","0.2","0.0","0.2","29.2"
"2250.0","8.8","3.0","0.0","0.2","0.0","10.0","0.0","0.0","0.6","30.6"
"2260.0","9.2","5.4","0.0","0.0","0.0","12.2","0.2","0.0","0.2","29.0"
"2270.0","9.4","4.8","0.0","0.0","0.0","9.8","0.0","0.0","0.0","29.0"
"2280.0","7.6","4.4","0.2","0.0","0.0","10.0","0.0","0.0","0.0","32.4"
"2290.0","8.4","5.8","0.0","0.0","0.0","10.8","0.0","0.0","0.8","31.2"
"2300.0","9.8","3.4","0.0","0.0","0.0","9.4","0.0","0.0","0.0","30.8"
"2310.0","8.6","4.2","0.0","0.0","0.2","9.0","0.2","0.0","0.6","29.4"
"2320.0","8.2","2.6","0.0","0.0","0.0","10.6","0.2","0.0","0.8","33.0"
"2330.0","9.4","5.0","0.2","0.0","0.0","11.6","0.0","0.0","0.2","32.8"
"2340.0","10.0","3.8","0.0","0.2","0.0","10.6","0.2","0.0","0.0","30.8"
"2350.0","11.6","3.4","0.2","0.0","0.0","11.4","0.0","0.0","0.0","31.8"
"2360.0","10.0","5.2","0.0","0.0","0.0","10.4","0.2","0.0","0.2","34.4"
"2370.0","12.2","4.4","0.2","0.0","0.0","10.4","0.0","0.0","0.4","29.0"
"2380.0","9.0","3.4","0.0","0.0","0.0","10.6","0.0","0.0","0.4","34.8"
"2390.0","10.2","3.4","0.0","0.0","0.0","8.8","0.0","0.0","0.4","34.0"
"2400.0","9.2","5.6","0.0","0.0","0.0","12.4","0.0","0.0","0.4","34.8"
"2410.0","9.2","5.0","0.0","0.2","0.2","12.0","0.2","0.0","0.6","33.2"
"2420.0","10.2","3.8","0.0","0.0","0.0","11.0","0.2","0.0","0.0","33.0"
"2430.0","13.6","3.4","0.0","0.0","0.0","10.4","0.0","0.0","0.0","31.4"
"2440.0","9.2","5.6","0.0","0.2","0.0","10.2","0.0","0.0","0.4","30.0"
"2450.0","9.2","3.8","0.0","0.0","0.0","13.2","0.0","0.0","0.2","32.8"
"2460.0","8.6","4.2","0.0","0.0","0.4","10.8","0.2","0.0","0.2","34.0"
"2470.0","12.0","6.0","0.0","0.2","0.2","14.8","0.0","0.0","0.4","33.6"
"2480.0","12.2","5.2","0.0","0.0","0.0","12.6","0.0","0.0","0.2","33.2"
"2490.0","11.4","6.0","0.0","0.0","0.0","8.4","0.2","0.0","0.0","35.2"
"2500.0","10.6","5.6","0.0","0.0","0.0","9.8","0.0","0.0","0.2","35.0"
"2510.0","11.0","5.0","0.0","0.0","0.0","9.8","0.2","0.0","0.2","36.0"
"2520.0","11.8","5.6","0.0","0.2","0.0","13.4","0.0","0.0","0.0","33.6"
"2530.0","11.6","4.2","0.0","0.0","0.0","11.2","0.0","0.0","0.0","30.8"
"2540.0","11.6","5.4","0.0","0.0","0.0","12.0","0.2","0.0","0.2","33.4"
"2550.0","10.8","4.4","0.0","0.0","0.2","11.2","0.2","0.0","0.2","33.0"
"2560.0","12.6","5.2","0.0","0.0","0.0","12.2","0.0","0.0","0.0","30.2"
"2570.0","13.6","3.8","0.0","0.0","0.0","12.6","0.0","0.0","0.2","36.2"
"2580.0","13.0","4.6","0.0","0.0","0.2","11.4","0.0","0.0","0.0","36.8"
"2590.0","11.2","3.8","0.0","0.0","0.0","12.4","0.0","0.0","0.0","34.0"
"2600.0","13.6","4.6","0.0","0.0","0.2","10.0","0.0","0.0","0.0","34.0"
"2610.0","13.2","4.4","0.0","0.0","0.0","9.6","0.2","0.0","0.0","36.0"
"2620.0","14.4","5.4","0.0","0.0","0.0","12.0","0.2","0.0","0.0","33.8"
"2630.0","13.2","3.8","0.0","0.0","0.4","9.0","0.0","0.0","0.2","34.2"
"2640.0","14.2","4.2","0.0","0.2","0.0","11.4","0.0","0.0","0.0","35.8"
"2650.0","14.6","4.0","0.0","0.0","0.0","11.0","0.0","0.0","0.0","34.0"
"2660.0","13.8","4.0","0.0","0.0","0.0","12.2","0.0","0.0","0.0","34.0"
"2670.0","13.8","5.6","0.0","0.0","0.0","12.6","0.2","0.0","0.4","33.2"
"2680.0","15.4","4.4","0.0","0.0","0.2","9.4","0.0","0.0","0.6","32.8"
"2690.0","15.8","6.0","0.0","0.0","0.0","10.8","0.2","0.0","0.0","31.6"
"2700.0","18.4","5.4","0.0","0.2","0.0","13.2","0.0","0.0","0.4","34.8"
"2710.0","17.4","5.6","0.0","0.0","0.4","15.0","0.0","0.0","0.2","36.0"
"2720.0","13.8","3.8","0.0","0.0","0.0","12.4","0.0","0.0","0.8","32.8"
"2730.0","15.6","5.0","0.0","0.0","0.0","12.2","0.2","0.0","0.0","34.2"
"2740.0","19.4","5.8","0.0","0.0","0.0","8.4","0.0","0.0","0.0","34.2"
"2750.0","18.8","3.4","0.0","0.0","0.4","11.0","0.2","0.0","0.0","35.2"
"2760.0","16.0","5.0","0.0","0.0","0.2","10.8","0.0","0.0","0.0","35.4"
"2770.0","18.4","3.8","0.0","0.0","0.2","10.8","0.0","0.0","0.0","35.0"
"2780.0","14.8","3.4","0.0","0.0","0.0","12.2","0.2","0.0","0.0","36.8"
"2790.0","15.6","4.4","0.0","0.0","0.4","12.2","0.0","0.0","0.0","33.0"
"2800.0","19.0","5.8","0.0","0.0","0.0","13.6","0.0","0.0","0.0","38.0"
"2810.0","17.4","4.6","0.0","0.0","0.2","11.4","0.0","0.0","0.0","38.0"
"2820.0","14.6","3.6","0.0","0.0","0.2","10.4","0.0","0.0","0.0","35.8"
"2830.0","15.0","5.2","0.0","0.0","0.0","12.2","0.0","0.0","0.0","33.2"
"2840.0","15.2","6.4","0.0","0.0","0.0","10.2","0.2","0.0","0.0","35.8"
"2850.0","18.8","5.0","0.0","0.2","0.0","12.8","0.0","0.2","0.0","36.2"
"2860.0","17.0","3.6","0.0","0.0","0.0","12.2","0.2","0.0","0.0","37.6"
"2870.0","19.4","5.6","0.0","0.0","0.2","12.8","0.0","0.0","0.2","39.2"
"2880.0","21.0","6.6","0.0","0.0","0.0","15.0","0.0","0.0","0.0","38.4"
"2890.0","20.2","4.4","0.0","0.0","0.0","15.2","0.0","0.0","0.0","39.4"
"2900.0","18.0","5.0","0.0","0.0","0.0","12.2","0.0","0.0","0.0","38.0"
"2910.0","20.0","6.0","0.0","0.0","0.2","11.2","0.0","0.0","0.0","40.2"
"2920.0","21.8","4.6","0.0","0.0","0.0","13.0","0.0","0.0","0.0","35.6"
"2930.0","22.0","4.2","0.0","0.0","0.0","15.2","0.0","0.0","0.0","40.4"
"2940.0","21.0","5.6","0.0","0.0","0.0","9.6","0.2","0.0","0.0","37.8"
"2950.0","18.6","5.4","0.0","0.0","0.0","11.8","0.0","0.0","0.0","36.2"
"2960.0","20.0","6.6","0.0","0.2","0.2","14.2","0.0","0.0","0.0","36.8"
"2970.0","20.0","5.2","0.0","0.0","0.0","12.2","0.2","0.0","0.2","37.8"
"2980.0","20.0","6.8","0.2","0.0","0.0","11.4","0.0","0.0","0.0","36.6"
