"PandaController_2019_07_11__04_22_12__463949axucqtuhun","PandaController_2019_07_11__07_52_35__792458blpwiaskud","PandaController_2019_08_11__08_38_47__735509zcglqsaenn","PandaController_2019_08_11__11_34_05__216181wrezbfoqef","PandaController_2019_08_11__13_28_46__876978roceimuexi","Mean_over_std_grasp_times"
"135.0573952066306","nan","nan","nan","nan","135.0573952066306"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","122.32947314527271","122.32947314527271"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","124.83722735359567","124.83722735359567"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","157.6848122046001","157.6848122046001"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","193.04015126392747","nan","nan","nan","193.04015126392747"
"nan","nan","nan","105.35891039679558","nan","105.35891039679558"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","226.27416997969522","nan","226.27416997969522"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","16.263455967290593","16.263455967290593"
"nan","nan","nan","nan","12.727922061357855","12.727922061357855"
"nan","60.81118318204309","nan","nan","nan","60.81118318204309"
"nan","11.313708498984761","nan","294.15642097360376","nan","152.73506473629425"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","392.2703149615071","392.2703149615071"
"nan","nan","nan","91.55508360180407","nan","91.55508360180407"
"nan","nan","nan","147.78531726798843","nan","147.78531726798843"
"nan","nan","nan","223.52069255440313","nan","223.52069255440313"
"nan","nan","nan","nan","nan","nan"
"nan","363.4528855298854","nan","nan","nan","363.4528855298854"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","16.97056274847714","nan","16.97056274847714"
"nan","nan","nan","443.3559518039653","nan","443.3559518039653"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","228.39549032325485","nan","nan","nan","228.39549032325485"
"nan","206.74702738693324","nan","nan","nan","206.74702738693324"
"nan","188.09040379562165","nan","nan","nan","188.09040379562165"
"nan","306.8843430349616","nan","nan","nan","306.8843430349616"
"nan","245.22118295821952","nan","nan","nan","245.22118295821952"
"nan","243.6654696733025","nan","nan","nan","243.6654696733025"
"nan","191.2694434560837","nan","nan","nan","191.2694434560837"
"nan","291.0778090289449","nan","nan","nan","291.0778090289449"
"nan","250.2414833715625","111.476454913134","nan","nan","180.85896914234826"
"nan","224.7847859620397","nan","nan","nan","224.7847859620397"
"nan","232.8354211311787","nan","nan","nan","232.8354211311787"
"nan","nan","nan","nan","nan","nan"
"nan","5.656854249492381","58.68986283848344","nan","nan","32.17335854398791"
"nan","90.29765593118499","287.0619644407309","nan","nan","188.67981018595793"
"nan","235.69118212893187","220.1245102209202","nan","nan","227.90784617492602"
"nan","121.31089536118894","12.020815280171307","nan","333.91465975605206","155.74879013247076"
"nan","175.9178527298776","nan","nan","nan","175.9178527298776"
"233.3452377915607","197.75058901187995","nan","nan","nan","215.54791340172034"
"nan","134.6996659238619","nan","nan","nan","134.6996659238619"
"nan","174.90777331687312","nan","nan","nan","174.90777331687312"
"450.4270196158308","272.26216010222464","27.577164466275352","nan","nan","250.0887813947769"
"197.31903101322996","129.67909109284608","48.79036790187178","nan","nan","125.26283000264927"
"213.03990236573054","179.05095522006408","nan","nan","nan","196.04542879289733"
"149.90663761154806","158.69861203667028","311.6051454431821","nan","nan","206.73679836380015"
"277.18585822512665","195.50676391583517","144.2821310257557","nan","nan","205.6582510555725"
"144.22320663933849","138.5714457745375","206.78007640969668","nan","nan","163.1915762745242"
"nan","138.4264845526887","271.6097690928415","nan","nan","205.01812682276508"
"nan","175.95809160138103","124.09794518846796","nan","nan","150.0280183949245"
"nan","162.57885489192932","201.65068807222056","nan","nan","182.11477148207496"
"nan","122.24518010118442","189.88307805945567","nan","nan","156.06412908032004"
"nan","177.63879503637793","284.2979657565867","nan","nan","230.9683803964823"
"nan","181.35101228052855","229.70894627767547","nan","nan","205.529979279102"
"nan","136.02001000475306","310.3938358494468","nan","nan","223.20692292709992"
"nan","136.38811278000847","262.68316361054514","nan","nan","199.53563819527682"
"nan","183.40044817350883","195.90303724036542","nan","nan","189.6517427069371"
"nan","116.61068874230472","315.26866849297494","nan","nan","215.93967861763983"
"nan","181.71187369574065","nan","nan","nan","181.71187369574065"
"nan","115.6683775234063","nan","nan","nan","115.6683775234063"
"nan","165.07804622219703","271.89826528807913","nan","nan","218.48815575513808"
"nan","122.53967098580445","294.80897770138097","nan","nan","208.6743243435927"
"nan","154.73245220284556","nan","nan","88.38834764831844","121.560399925582"
"nan","109.90002097969953","nan","nan","nan","109.90002097969953"
"nan","151.24551956392187","nan","nan","nan","151.24551956392187"
"nan","156.56622871602602","228.29148034913612","nan","nan","192.42885453258106"
"nan","126.38810442908174","234.05234457274722","nan","nan","180.22022450091447"
"nan","140.77615042435949","249.84178326826492","nan","nan","195.30896684631222"
"nan","120.63705968759362","166.98577783751526","nan","nan","143.81141876255444"
"nan","89.98802950695972","59.938857735751576","nan","nan","74.96344362135565"
"nan","152.84968078417734","nan","nan","nan","152.84968078417734"
"nan","130.8146478668613","383.9589821842953","nan","nan","257.3868150255783"
"nan","159.87872762556566","nan","nan","nan","159.87872762556566"
"nan","141.9671836182214","nan","nan","nan","141.9671836182214"
"nan","139.07396505134253","nan","nan","nan","139.07396505134253"
"nan","177.7853920480874","nan","nan","nan","177.7853920480874"
