"PandaController_2019_08_11__15_19_02__148767vjuribgiiz","PandaController_2019_08_11__15_19_34__478560dcxzbosnrv","PandaController_2019_08_11__15_34_38__360623vyziwdnqsj","PandaController_2019_08_11__15_36_11__029089ybyhkobuwk","PandaController_2019_08_11__15_41_05__262730fzyxnprhgl","Mean_over_std_grasp_times"
"nan","nan","nan","214.1005994075371","nan","214.1005994075371"
"nan","nan","nan","167.11907982664715","nan","167.11907982664715"
"nan","nan","nan","125.7881352543245","nan","125.7881352543245"
"nan","nan","nan","104.53315999462342","nan","104.53315999462342"
"nan","nan","nan","199.58672374213083","nan","199.58672374213083"
"nan","nan","nan","172.9424639391186","nan","172.9424639391186"
"nan","nan","nan","112.07985874742216","nan","112.07985874742216"
"nan","nan","nan","157.21934934836682","nan","157.21934934836682"
"nan","nan","nan","163.54182514399358","nan","163.54182514399358"
"nan","nan","nan","129.23312268919295","nan","129.23312268919295"
"nan","nan","nan","70.78731838715494","nan","70.78731838715494"
"nan","nan","nan","217.6908358199766","nan","217.6908358199766"
"nan","nan","nan","165.71691154267216","nan","165.71691154267216"
"nan","nan","nan","157.64870530935002","nan","157.64870530935002"
"nan","nan","nan","181.03334700345326","nan","181.03334700345326"
"nan","nan","nan","143.5218710598753","nan","143.5218710598753"
"nan","nan","nan","162.3671484909768","nan","162.3671484909768"
"nan","nan","nan","156.47128330783255","nan","156.47128330783255"
"nan","nan","nan","135.3194356816589","nan","135.3194356816589"
"nan","nan","nan","181.19511673792516","nan","181.19511673792516"
"nan","nan","nan","125.69549206374188","nan","125.69549206374188"
"nan","nan","nan","182.23167489032562","nan","182.23167489032562"
"nan","nan","nan","107.37916797165879","nan","107.37916797165879"
"nan","nan","nan","191.52499111662223","nan","191.52499111662223"
"nan","nan","nan","228.7538706412054","nan","228.7538706412054"
"nan","nan","nan","181.93718978164148","nan","181.93718978164148"
"nan","nan","nan","84.79806077447238","nan","84.79806077447238"
"nan","nan","nan","220.1061770297841","nan","220.1061770297841"
"nan","nan","nan","227.85164969559875","5.656854249492381","116.75425197254556"
"nan","nan","nan","282.17545763033485","nan","282.17545763033485"
"nan","nan","nan","207.08358484223493","nan","207.08358484223493"
"nan","nan","nan","202.85527781219727","nan","202.85527781219727"
"nan","nan","nan","128.16650730503366","nan","128.16650730503366"
"nan","nan","nan","237.93904473833004","nan","237.93904473833004"
"nan","nan","nan","96.72417080229381","nan","96.72417080229381"
"nan","nan","nan","220.62275494608437","345.77521600022175","283.1989854731531"
"nan","nan","nan","217.39771090304137","404.4650788387052","310.9313948708733"
"nan","nan","nan","52.189176511299124","nan","52.189176511299124"
"nan","nan","nan","157.73724988093332","nan","157.73724988093332"
"nan","nan","nan","181.38746308580946","nan","181.38746308580946"
"nan","nan","nan","142.873055542324","nan","142.873055542324"
"nan","nan","nan","80.71203958105218","nan","80.71203958105218"
"nan","nan","nan","145.28203967673215","nan","145.28203967673215"
"nan","nan","nan","122.10292789282327","nan","122.10292789282327"
"nan","nan","nan","145.68615811622828","nan","145.68615811622828"
"nan","nan","nan","92.49240968751096","nan","92.49240968751096"
"nan","nan","nan","92.74107448456549","nan","92.74107448456549"
"nan","nan","nan","92.85472524325297","nan","92.85472524325297"
"nan","nan","nan","254.12897997186087","nan","254.12897997186087"
"nan","8.386497083606082","nan","92.07210613031901","nan","50.22930160696255"
"nan","nan","nan","120.23157801900953","nan","120.23157801900953"
"nan","nan","nan","127.01181047445942","nan","127.01181047445942"
"nan","nan","nan","131.12046490075252","nan","131.12046490075252"
"nan","nan","nan","83.0149291485481","nan","83.0149291485481"
"nan","nan","nan","88.97483714523811","nan","88.97483714523811"
"nan","nan","nan","28.69161534680108","nan","28.69161534680108"
"nan","nan","nan","69.71000968107414","nan","69.71000968107414"
"nan","nan","nan","108.79828672215335","nan","108.79828672215335"
"nan","nan","nan","59.8535327123743","nan","59.8535327123743"
"nan","nan","nan","65.97835503658251","nan","65.97835503658251"
"nan","nan","nan","67.54480190621825","nan","67.54480190621825"
"nan","nan","nan","42.57415675652792","nan","42.57415675652792"
"nan","nan","nan","74.9630678298423","nan","74.9630678298423"
"nan","nan","nan","50.00181814876153","nan","50.00181814876153"
"nan","nan","nan","57.933182401697955","nan","57.933182401697955"
"nan","nan","nan","84.92997695290912","nan","84.92997695290912"
"nan","nan","nan","72.44878297008276","nan","72.44878297008276"
"nan","nan","nan","80.52054907617938","nan","80.52054907617938"
"nan","nan","nan","139.75447748997033","nan","139.75447748997033"
"nan","nan","nan","63.00311783668216","nan","63.00311783668216"
"nan","nan","nan","37.01415015677055","nan","37.01415015677055"
"nan","nan","nan","79.53590384222713","nan","79.53590384222713"
"nan","nan","nan","53.02523347063532","nan","53.02523347063532"
"nan","nan","nan","109.9352623354395","nan","109.9352623354395"
"nan","nan","nan","50.15147007555129","nan","50.15147007555129"
"nan","nan","nan","35.95598020239847","nan","35.95598020239847"
"nan","nan","nan","126.85387168669611","nan","126.85387168669611"
"nan","nan","nan","179.71834354493686","nan","179.71834354493686"
"nan","nan","nan","133.84462018677172","nan","133.84462018677172"
"nan","nan","nan","64.7956678446065","nan","64.7956678446065"
"nan","nan","nan","115.89545744528391","nan","115.89545744528391"
"nan","nan","nan","166.3625258283848","nan","166.3625258283848"
"nan","nan","nan","117.43015841453659","nan","117.43015841453659"
"nan","nan","nan","202.27331815663487","nan","202.27331815663487"
"nan","nan","nan","102.2617930035475","nan","102.2617930035475"
"nan","nan","nan","154.91825801585384","nan","154.91825801585384"
"nan","nan","nan","51.21002506020346","nan","51.21002506020346"
"nan","nan","nan","88.01019524125124","nan","88.01019524125124"
"nan","nan","nan","50.20713707986758","nan","50.20713707986758"
"nan","nan","nan","111.83386716980614","nan","111.83386716980614"
"nan","nan","nan","91.22497581321254","nan","91.22497581321254"
"nan","nan","nan","85.47046273421012","nan","85.47046273421012"
