"PandaController_2019_08_11__07_01_34__167031hpgggtlboa","PandaController_2019_08_11__10_10_55__066820irbqdccwic","PandaController_2019_08_11__13_45_46__951166yonbfuxuse","PandaController_2019_08_11__15_00_58__016745rvhfwqxqpa","PandaController_2019_08_11__12_19_54__819248lvmwilclox","Mean_over_std_grasp_times"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","70.0035713374682","70.0035713374682"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","436.6741729634732","nan","nan","nan","436.6741729634732"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"65.05382386916237","nan","nan","nan","nan","65.05382386916237"
"nan","nan","nan","nan","12.020815280171307","12.020815280171307"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","162.79537257960783","162.79537257960783"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","216.79898523747752","216.79898523747752"
"nan","nan","nan","nan","271.84723038255635","271.84723038255635"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","101.82337649086284","101.82337649086284"
"nan","nan","nan","nan","160.11350140863615","160.11350140863615"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","268.06280358652276","268.06280358652276"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","74.95331880577403","74.95331880577403"
"nan","nan","nan","nan","314.69313094928947","314.69313094928947"
"nan","nan","nan","nan","358.7659404124087","358.7659404124087"
"nan","nan","nan","nan","41.556186863891476","41.556186863891476"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","164.75588001646557","164.75588001646557"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
