"PandaController_2019_07_11__12_38_56__003753pjrlfmwpaq","PandaController_2019_08_11__08_44_15__029093xujaljzgvp","PandaController_2019_08_11__13_43_29__538220tchgjwbcpz","PandaController_2019_08_11__14_54_44__896737sajfowubaj","PandaController_2019_08_11__12_01_14__539129fwkiflmbhc","Mean_over_std_grasp_times"
"nan","40.30508652763321","nan","nan","nan","40.30508652763321"
"nan","88.38834764831844","nan","nan","nan","88.38834764831844"
"nan","108.89444430272832","nan","nan","nan","108.89444430272832"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","235.46655813512032","nan","nan","235.46655813512032"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","21.920310216782973","21.920310216782973"
"nan","nan","117.37972567696688","nan","nan","117.37972567696688"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","389.6158364337877","nan","nan","nan","389.6158364337877"
"nan","nan","nan","nan","nan","nan"
"nan","102.5304832720494","nan","nan","351.4320702497141","226.98127676088177"
"nan","nan","nan","nan","231.93102422918759","231.93102422918759"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","335.1686142824235","335.1686142824235"
"nan","nan","nan","nan","200.8183258569795","200.8183258569795"
"nan","124.45079348883236","nan","nan","nan","124.45079348883236"
"nan","nan","nan","nan","301.91113482833543","301.91113482833543"
"nan","nan","nan","nan","136.47160876900367","136.47160876900367"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","436.2848839920998","436.2848839920998"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","234.75945135393377","82.73149339882606","158.74547237637992"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","65.05382386916237","65.05382386916237"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","254.55844122715712","254.55844122715712"
"nan","95.45941546018392","nan","nan","nan","95.45941546018392"
"14.849242404917497","nan","31.11269837220809","nan","nan","22.980970388562795"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","336.09076155110245","336.09076155110245"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","392.44426355853386","224.8599564173221","nan","nan","308.652109987928"
"nan","nan","nan","nan","nan","nan"
"nan","77.78174593052023","nan","nan","nan","77.78174593052023"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","17.67766952966369","nan","nan","17.67766952966369"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"55.154328932550705","29.698484809834994","nan","nan","nan","42.42640687119285"
"nan","357.79603128039304","nan","nan","nan","357.79603128039304"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","71.4177848998413","71.4177848998413"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","50.91168824543142","nan","nan","nan","50.91168824543142"
"nan","181.6388357886789","nan","nan","nan","181.6388357886789"
"nan","188.2153022471871","nan","nan","nan","188.2153022471871"
"nan","293.53761825928433","nan","nan","nan","293.53761825928433"
"nan","66.56575696257048","nan","nan","nan","66.56575696257048"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","183.2421894651993","nan","nan","nan","183.2421894651993"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","219.74303174389854","nan","nan","nan","219.74303174389854"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
