"Parameter-specification-id","Mean grasping time steps","Mean std of mean grasping time steps"
"params_2",312.0,0.0
"params_1",266.97328043691704,43.675421045000476
"params_9",170.0,0.0
"params_10",343.75979834791053,17.349492065386535
"params_3",57.0,0.0
"params_7",271.6666666666667,0.0
"params_8",nan,nan
"params_4",111.5,0.0
"params_6",155.0279836779171,53.016526812710865
"params_5",261.5103197103584,26.195425718982484
