"PandaController_2019_08_11__08_22_13__165309nhlzdqdbhl","PandaController_2019_08_11__14_18_17__188334jzlipczgwe","PandaController_2019_08_11__11_30_38__945755wjtcehpbcy","PandaController_2019_08_11__13_23_12__851503oqrypyiuqc","PandaController_2019_08_11__15_12_46__701247ieqnuidezx","Mean_over_mean_grasp_times"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","695.0","695.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"104.0","nan","nan","nan","nan","104.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","209.0","nan","nan","nan","209.0"
"nan","680.0","nan","nan","nan","680.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","664.0","nan","nan","nan","664.0"
"nan","571.4","nan","nan","nan","571.4"
"nan","336.0","nan","nan","nan","336.0"
"nan","335.54545454545456","nan","nan","nan","335.54545454545456"
"nan","489.44444444444446","nan","nan","nan","489.44444444444446"
"nan","400.6666666666667","nan","nan","nan","400.6666666666667"
"nan","387.4375","nan","nan","nan","387.4375"
"nan","389.1666666666667","nan","nan","nan","389.1666666666667"
"nan","322.7857142857143","nan","nan","nan","322.7857142857143"
"nan","331.5","nan","nan","nan","331.5"
"nan","355.93333333333334","nan","nan","nan","355.93333333333334"
"nan","354.6","nan","nan","nan","354.6"
"nan","335.2","nan","nan","nan","335.2"
"nan","287.07142857142856","nan","nan","nan","287.07142857142856"
"nan","360.3","nan","nan","nan","360.3"
"nan","379.77777777777777","nan","nan","nan","379.77777777777777"
"nan","318.6923076923077","nan","nan","nan","318.6923076923077"
"nan","289.89473684210526","nan","nan","nan","289.89473684210526"
"nan","379.14285714285717","nan","nan","nan","379.14285714285717"
"nan","417.2307692307692","nan","nan","724.0","570.6153846153846"
"nan","252.23529411764707","nan","nan","nan","252.23529411764707"
"nan","277.8181818181818","nan","nan","nan","277.8181818181818"
"nan","354.875","nan","nan","410.5","382.6875"
"nan","309.88235294117646","nan","nan","nan","309.88235294117646"
"nan","348.1666666666667","nan","nan","nan","348.1666666666667"
"nan","259.72","nan","nan","nan","259.72"
"nan","272.7894736842105","nan","nan","nan","272.7894736842105"
"nan","271.85","nan","nan","413.0","342.425"
"nan","267.8125","nan","nan","nan","267.8125"
"nan","265.125","nan","nan","157.0","211.0625"
"nan","284.1111111111111","nan","nan","nan","284.1111111111111"
"nan","352.72222222222223","nan","nan","nan","352.72222222222223"
"nan","285.0869565217391","nan","nan","nan","285.0869565217391"
"nan","244.04545454545453","nan","nan","122.0","183.02272727272725"
"nan","326.5625","nan","nan","nan","326.5625"
"nan","270.25","nan","nan","nan","270.25"
"nan","310.29411764705884","nan","nan","nan","310.29411764705884"
"nan","266.2352941176471","nan","nan","125.0","195.61764705882354"
"nan","235.85185185185185","nan","nan","nan","235.85185185185185"
"nan","208.07407407407408","nan","nan","nan","208.07407407407408"
"nan","211.66666666666666","nan","nan","nan","211.66666666666666"
"nan","207.04545454545453","nan","nan","nan","207.04545454545453"
"nan","277.55","nan","nan","nan","277.55"
"nan","215.0","nan","nan","175.0","195.0"
