"PandaController_2019_07_11__04_22_12__463949axucqtuhun","PandaController_2019_07_11__07_52_35__792458blpwiaskud","PandaController_2019_08_11__08_38_47__735509zcglqsaenn","PandaController_2019_08_11__11_34_05__216181wrezbfoqef","PandaController_2019_08_11__13_28_46__876978roceimuexi","Mean_over_mean_grasp_times"
"nan","209.2549019607843","nan","nan","nan","209.2549019607843"
"nan","206.56603773584905","nan","nan","nan","206.56603773584905"
"nan","208.3272727272727","nan","nan","nan","208.3272727272727"
"nan","200.54237288135593","nan","nan","nan","200.54237288135593"
"nan","210.8148148148148","nan","nan","nan","210.8148148148148"
"nan","199.04918032786884","nan","nan","nan","199.04918032786884"
"nan","212.40384615384616","nan","nan","nan","212.40384615384616"
"nan","184.53731343283582","nan","nan","nan","184.53731343283582"
"nan","195.09615384615384","nan","nan","nan","195.09615384615384"
"nan","210.1320754716981","nan","nan","nan","210.1320754716981"
"nan","204.79245283018867","nan","nan","nan","204.79245283018867"
"nan","186.25","nan","nan","nan","186.25"
"nan","201.67241379310346","nan","nan","nan","201.67241379310346"
"576.0","190.1320754716981","nan","nan","nan","383.066037735849"
"nan","200.74074074074073","nan","nan","nan","200.74074074074073"
"nan","190.47619047619048","nan","nan","nan","190.47619047619048"
"nan","235.9318181818182","nan","nan","nan","235.9318181818182"
"nan","195.2037037037037","nan","nan","nan","195.2037037037037"
"458.0","187.05555555555554","nan","nan","nan","322.52777777777777"
"nan","221.37209302325581","nan","nan","nan","221.37209302325581"
"nan","190.609756097561","nan","nan","nan","190.609756097561"
"nan","187.12727272727273","nan","nan","nan","187.12727272727273"
"nan","234.1081081081081","nan","nan","nan","234.1081081081081"
"816.0","183.51923076923077","nan","nan","nan","499.75961538461536"
"nan","208.35135135135135","nan","nan","nan","208.35135135135135"
"nan","191.70731707317074","nan","nan","nan","191.70731707317074"
"nan","207.14893617021278","nan","nan","nan","207.14893617021278"
"nan","166.20754716981133","nan","nan","nan","166.20754716981133"
"nan","177.80357142857142","nan","nan","nan","177.80357142857142"
"nan","195.46666666666667","nan","nan","nan","195.46666666666667"
"nan","213.35714285714286","nan","nan","nan","213.35714285714286"
"nan","207.93333333333334","nan","nan","nan","207.93333333333334"
"nan","192.84126984126985","nan","nan","nan","192.84126984126985"
"nan","168.27272727272728","nan","nan","nan","168.27272727272728"
"nan","193.984126984127","nan","nan","nan","193.984126984127"
"nan","214.26415094339623","nan","nan","nan","214.26415094339623"
"nan","171.4","nan","nan","nan","171.4"
"nan","215.2982456140351","nan","nan","nan","215.2982456140351"
"nan","207.73214285714286","nan","nan","nan","207.73214285714286"
"nan","267.8181818181818","nan","nan","nan","267.8181818181818"
"nan","186.9090909090909","nan","nan","nan","186.9090909090909"
"nan","251.8048780487805","nan","nan","nan","251.8048780487805"
"nan","180.77966101694915","nan","nan","nan","180.77966101694915"
"nan","206.97674418604652","nan","nan","nan","206.97674418604652"
"nan","236.34146341463415","nan","nan","196.0","216.1707317073171"
"nan","220.7659574468085","nan","nan","nan","220.7659574468085"
"nan","299.76666666666665","nan","nan","nan","299.76666666666665"
"nan","223.0","nan","nan","nan","223.0"
"nan","197.53191489361703","nan","nan","nan","197.53191489361703"
"nan","228.95238095238096","nan","nan","559.5","394.2261904761905"
"nan","191.91666666666666","nan","nan","nan","191.91666666666666"
"nan","259.55555555555554","nan","nan","261.5","260.52777777777777"
"nan","199.72916666666666","nan","nan","175.0","187.36458333333331"
"nan","201.17391304347825","nan","nan","nan","201.17391304347825"
"nan","218.90243902439025","nan","nan","nan","218.90243902439025"
"nan","200.90740740740742","nan","nan","nan","200.90740740740742"
"nan","221.48","nan","nan","nan","221.48"
"nan","196.75","nan","nan","938.0","567.375"
"nan","211.28947368421052","nan","nan","202.0","206.64473684210526"
"nan","213.6764705882353","nan","nan","nan","213.6764705882353"
"nan","188.08163265306123","nan","nan","nan","188.08163265306123"
"nan","255.86111111111111","nan","nan","899.0","577.4305555555555"
"nan","234.25806451612902","nan","nan","nan","234.25806451612902"
"nan","223.1315789473684","nan","nan","nan","223.1315789473684"
"nan","233.0","nan","nan","nan","233.0"
"nan","262.6744186046512","nan","264.0","nan","263.3372093023256"
"nan","202.41176470588235","nan","nan","nan","202.41176470588235"
