"PandaController_2019_08_11__15_19_02__148767vjuribgiiz","PandaController_2019_08_11__15_19_34__478560dcxzbosnrv","PandaController_2019_08_11__15_34_38__360623vyziwdnqsj","PandaController_2019_08_11__15_36_11__029089ybyhkobuwk","PandaController_2019_08_11__15_41_05__262730fzyxnprhgl","Mean_over_mean_grasp_times"
"nan","nan","nan","287.25","nan","287.25"
"767.0","nan","nan","324.5","nan","545.75"
"nan","nan","nan","252.8","nan","252.8"
"nan","nan","nan","489.6","nan","489.6"
"nan","nan","nan","290.72222222222223","nan","290.72222222222223"
"nan","nan","nan","286.2857142857143","nan","286.2857142857143"
"nan","nan","nan","325.54545454545456","856.0","590.7727272727273"
"nan","nan","nan","307.2857142857143","nan","307.2857142857143"
"nan","nan","nan","299.0","nan","299.0"
"nan","nan","nan","333.0625","nan","333.0625"
"nan","nan","nan","333.94444444444446","867.0","600.4722222222222"
"nan","nan","nan","329.85714285714283","234.0","281.92857142857144"
"nan","nan","nan","262.63157894736844","nan","262.63157894736844"
"nan","nan","nan","344.375","nan","344.375"
"nan","nan","nan","357.57142857142856","nan","357.57142857142856"
"nan","nan","nan","415.6","nan","415.6"
"nan","nan","nan","414.1666666666667","408.0","411.08333333333337"
"nan","nan","nan","330.15384615384613","nan","330.15384615384613"
"nan","nan","nan","269.6","nan","269.6"
"nan","nan","nan","355.0625","882.0","618.53125"
"nan","nan","nan","327.5263157894737","785.0","556.2631578947369"
"nan","nan","nan","457.1","nan","457.1"
"nan","nan","nan","376.8888888888889","987.0","681.9444444444445"
"nan","nan","nan","314.42857142857144","nan","314.42857142857144"
"851.0","nan","nan","227.22222222222223","nan","539.1111111111111"
"nan","nan","nan","287.2857142857143","nan","287.2857142857143"
"nan","nan","nan","213.2608695652174","238.0","225.6304347826087"
"nan","nan","nan","324.5","482.5","403.5"
"nan","171.0","nan","250.33333333333334","501.0","307.44444444444446"
"nan","nan","nan","178.33333333333334","nan","178.33333333333334"
"nan","nan","nan","237.96","nan","237.96"
"nan","nan","nan","254.66666666666666","nan","254.66666666666666"
"nan","nan","nan","248.28","nan","248.28"
"nan","nan","nan","210.33333333333334","nan","210.33333333333334"
"nan","nan","nan","272.65","nan","272.65"
"nan","nan","nan","241.0","nan","241.0"
"nan","nan","nan","246.04","nan","246.04"
"nan","nan","nan","201.1304347826087","nan","201.1304347826087"
"nan","nan","nan","217.3","nan","217.3"
"nan","nan","nan","223.0","nan","223.0"
"nan","152.0","nan","322.0","nan","237.0"
"nan","188.33333333333334","nan","210.0","nan","199.16666666666669"
"nan","nan","nan","247.58823529411765","nan","247.58823529411765"
"nan","275.0","nan","225.0","nan","250.0"
"nan","854.0","nan","290.95","nan","572.475"
"nan","nan","nan","204.96153846153845","nan","204.96153846153845"
"nan","nan","nan","247.95454545454547","nan","247.95454545454547"
"nan","nan","nan","160.85714285714286","nan","160.85714285714286"
"nan","nan","nan","189.32142857142858","nan","189.32142857142858"
"nan","nan","nan","191.6086956521739","nan","191.6086956521739"
"nan","nan","nan","177.28571428571428","nan","177.28571428571428"
"nan","nan","nan","216.68","nan","216.68"
"nan","nan","nan","181.67857142857142","nan","181.67857142857142"
"nan","nan","nan","173.94117647058823","nan","173.94117647058823"
"nan","nan","nan","170.0","nan","170.0"
"nan","nan","nan","162.0","nan","162.0"
"nan","nan","nan","174.91666666666666","nan","174.91666666666666"
"nan","nan","nan","188.6206896551724","nan","188.6206896551724"
"nan","nan","nan","199.8846153846154","nan","199.8846153846154"
"nan","nan","nan","198.83333333333334","nan","198.83333333333334"
"nan","nan","nan","198.2258064516129","nan","198.2258064516129"
"nan","nan","nan","176.75","nan","176.75"
"nan","nan","nan","158.2258064516129","nan","158.2258064516129"
"nan","nan","nan","190.28","nan","190.28"
"nan","nan","nan","162.34615384615384","nan","162.34615384615384"
"nan","nan","nan","206.47619047619048","nan","206.47619047619048"
"nan","nan","nan","167.20689655172413","nan","167.20689655172413"
"nan","nan","nan","165.75862068965517","nan","165.75862068965517"
"nan","nan","nan","224.85714285714286","nan","224.85714285714286"
"nan","nan","nan","232.72222222222223","nan","232.72222222222223"
"nan","nan","nan","190.26470588235293","nan","190.26470588235293"
