"PandaController_2019_07_11__12_38_56__003753pjrlfmwpaq","PandaController_2019_08_11__08_44_15__029093xujaljzgvp","PandaController_2019_08_11__13_43_29__538220tchgjwbcpz","PandaController_2019_08_11__14_54_44__896737sajfowubaj","PandaController_2019_08_11__12_01_14__539129fwkiflmbhc","Mean_over_mean_grasp_times"
"nan","449.0","nan","nan","nan","449.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","667.0","667.0"
"nan","nan","nan","73.0","447.0","260.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","125.0","nan","125.0"
"nan","nan","nan","nan","nan","nan"
"172.0","451.0","nan","94.0","nan","239.0"
"583.0","nan","nan","nan","nan","583.0"
"nan","321.0","nan","nan","nan","321.0"
"nan","nan","nan","nan","519.0","519.0"
"nan","nan","258.5","nan","78.0","168.25"
"nan","nan","nan","83.0","nan","83.0"
"nan","nan","177.0","nan","nan","177.0"
"nan","nan","156.0","nan","248.5","202.25"
"nan","518.0","261.0","nan","nan","389.5"
"nan","nan","nan","nan","nan","nan"
"nan","740.0","nan","nan","nan","740.0"
"nan","nan","166.0","116.0","nan","141.0"
"nan","nan","nan","nan","nan","nan"
"nan","648.5","nan","nan","nan","648.5"
"nan","nan","nan","nan","560.0","560.0"
"nan","364.5","nan","nan","661.5","513.0"
"nan","nan","nan","56.0","551.0","303.5"
"nan","nan","nan","nan","542.0","542.0"
"nan","nan","nan","nan","254.0","254.0"
"nan","nan","165.0","nan","754.0","459.5"
"nan","nan","nan","nan","646.0","646.0"
"nan","324.0","nan","nan","nan","324.0"
"nan","nan","nan","627.0","500.3333333333333","563.6666666666666"
"961.0","nan","156.0","nan","247.5","454.8333333333333"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","146.0","146.0"
"nan","nan","nan","nan","618.5","618.5"
"575.0","129.0","nan","967.0","nan","557.0"
"nan","nan","nan","240.0","418.5","329.25"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","345.0","345.0"
"nan","nan","nan","nan","766.0","766.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","366.0","366.0"
"nan","232.5","nan","nan","984.0","608.25"
"151.5","nan","941.0","nan","nan","546.25"
"nan","895.0","nan","nan","nan","895.0"
"nan","nan","nan","nan","537.0","537.0"
"nan","nan","nan","nan","640.0","640.0"
"927.0","nan","nan","238.0","nan","582.5"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","401.5","472.0","nan","nan","436.75"
"nan","nan","719.0","200.0","nan","459.5"
"nan","216.0","481.0","nan","nan","348.5"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","129.0","573.5","nan","nan","351.25"
"540.0","nan","626.0","nan","nan","583.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","263.0","nan","nan","263.0"
"nan","757.0","nan","nan","nan","757.0"
"nan","nan","nan","nan","nan","nan"
"316.0","346.0","nan","nan","nan","331.0"
"nan","715.0","645.0","nan","nan","680.0"
"347.0","nan","nan","nan","nan","347.0"
"nan","nan","nan","nan","652.5","652.5"
"175.0","nan","nan","nan","nan","175.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","436.0","nan","nan","631.0","533.5"
"nan","312.0","720.0","nan","nan","516.0"
"nan","496.0","nan","nan","nan","496.0"
"nan","456.0","nan","nan","nan","456.0"
"nan","798.0","nan","nan","nan","798.0"
"nan","488.3333333333333","nan","nan","nan","488.3333333333333"
"nan","251.0","nan","nan","nan","251.0"
"nan","nan","nan","nan","nan","nan"
"nan","718.0","nan","nan","nan","718.0"
"476.0","728.0","nan","nan","nan","602.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","635.2","nan","nan","nan","635.2"
