"PandaController_2019_07_11__12_38_56__003753pjrlfmwpaq","PandaController_2019_08_11__08_44_15__029093xujaljzgvp","PandaController_2019_08_11__13_43_29__538220tchgjwbcpz","PandaController_2019_08_11__14_54_44__896737sajfowubaj","PandaController_2019_08_11__12_01_14__539129fwkiflmbhc","Mean_over_mean_grasp_times"
"494.0","nan","nan","129.0","nan","311.5"
"nan","nan","nan","840.0","nan","840.0"
"nan","nan","249.0","nan","nan","249.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","186.0","nan","nan","186.0"
"nan","nan","74.0","868.5","nan","471.25"
"nan","nan","140.0","309.0","nan","224.5"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","100.0","nan","nan","100.0"
"nan","nan","nan","187.0","nan","187.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","267.0","nan","267.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","282.0","nan","nan","282.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","482.0","nan","nan","482.0"
"nan","nan","nan","552.0","nan","552.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","580.5","nan","nan","nan","580.5"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","663.0","663.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","335.72727272727275","nan","nan","nan","335.72727272727275"
"nan","498.3333333333333","nan","nan","nan","498.3333333333333"
"nan","176.0","nan","nan","nan","176.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","738.0","nan","738.0"
"nan","nan","nan","nan","nan","nan"
"nan","149.0","nan","nan","nan","149.0"
"nan","nan","nan","nan","nan","nan"
"nan","149.0","nan","nan","nan","149.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","748.0","nan","nan","nan","748.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","352.0","nan","352.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","873.0","nan","873.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","906.0","nan","906.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","287.0","nan","287.0"
"nan","nan","nan","113.0","nan","113.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","443.3333333333333","nan","443.3333333333333"
"nan","689.0","nan","638.0","nan","663.5"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","962.0","nan","962.0"
"nan","nan","nan","671.5","nan","671.5"
"nan","450.5","nan","nan","nan","450.5"
"nan","nan","nan","nan","nan","nan"
"nan","497.5","nan","173.0","nan","335.25"
"nan","nan","nan","nan","nan","nan"
"nan","666.0","nan","nan","nan","666.0"
"nan","304.45454545454544","nan","nan","nan","304.45454545454544"
"nan","738.0","nan","nan","nan","738.0"
"nan","263.0","nan","nan","nan","263.0"
"nan","268.0","nan","nan","nan","268.0"
"nan","136.0","nan","nan","nan","136.0"
"nan","136.0","nan","414.0","nan","275.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","498.0","nan","498.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","181.0","nan","nan","nan","181.0"
"nan","284.0","nan","342.0","nan","313.0"
"nan","nan","nan","500.0","nan","500.0"
"nan","715.0","nan","313.0","nan","514.0"
"nan","198.5","nan","nan","nan","198.5"
"nan","366.6666666666667","nan","214.0","nan","290.33333333333337"
"nan","553.0","nan","nan","nan","553.0"
"nan","224.0","nan","593.0","nan","408.5"
"nan","nan","nan","nan","nan","nan"
"nan","nan","884.0","896.0","nan","890.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","339.0","nan","339.0"
"nan","nan","228.0","nan","nan","228.0"
"nan","nan","nan","767.0","nan","767.0"
"nan","nan","165.0","229.0","nan","197.0"
"nan","nan","nan","384.0","nan","384.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","121.0","53.0","nan","nan","87.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","797.0","nan","797.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","305.0","nan","nan","nan","305.0"
"nan","370.25","nan","751.5","nan","560.875"
"nan","231.0","nan","nan","nan","231.0"
"nan","513.0","677.0","nan","nan","595.0"
"nan","177.66666666666666","nan","nan","nan","177.66666666666666"
"nan","172.0","665.5","nan","nan","418.75"
"nan","nan","294.0","nan","nan","294.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","476.0","nan","nan","476.0"
"nan","112.0","64.0","789.0","nan","321.6666666666667"
"nan","nan","nan","nan","nan","nan"
"nan","166.0","nan","nan","nan","166.0"
"nan","144.0","nan","nan","nan","144.0"
"nan","nan","508.0","nan","nan","508.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","286.0","nan","nan","286.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","431.5","nan","nan","431.5"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","143.0","nan","nan","143.0"
"nan","nan","368.0","nan","nan","368.0"
"nan","441.6","nan","nan","nan","441.6"
"nan","410.6666666666667","nan","nan","nan","410.6666666666667"
"nan","716.0","683.0","nan","nan","699.5"
"nan","474.2","nan","nan","nan","474.2"
"nan","450.6666666666667","412.0","nan","nan","431.33333333333337"
"nan","112.0","nan","nan","nan","112.0"
"nan","321.0","286.0","nan","nan","303.5"
"nan","nan","313.6666666666667","nan","nan","313.6666666666667"
"nan","289.5","62.0","nan","nan","175.75"
"nan","146.5","304.0","nan","nan","225.25"
"nan","368.25","nan","nan","nan","368.25"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","213.66666666666666","128.0","nan","nan","170.83333333333331"
"nan","126.0","109.0","nan","nan","117.5"
"nan","429.0","nan","nan","nan","429.0"
"nan","696.0","nan","nan","nan","696.0"
"nan","699.0","312.5","nan","nan","505.75"
"nan","992.0","nan","nan","nan","992.0"
"nan","877.0","115.0","nan","nan","496.0"
"nan","686.6666666666666","137.0","nan","nan","411.8333333333333"
"nan","624.0","nan","nan","nan","624.0"
"nan","567.3333333333334","nan","nan","nan","567.3333333333334"
"nan","424.0","287.0","nan","nan","355.5"
"nan","nan","336.5","nan","nan","336.5"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","492.0","304.0","nan","nan","398.0"
"nan","896.0","335.0","nan","nan","615.5"
"nan","386.5","266.0","nan","nan","326.25"
"nan","462.75","nan","nan","nan","462.75"
"nan","481.9","639.0","nan","nan","560.45"
"nan","536.3333333333334","134.5","nan","nan","335.4166666666667"
"nan","nan","235.0","nan","nan","235.0"
"nan","nan","190.0","nan","nan","190.0"
"nan","nan","562.0","nan","nan","562.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","355.3333333333333","nan","nan","355.3333333333333"
