"PandaController_2019_07_11__12_38_56__003753pjrlfmwpaq","PandaController_2019_08_11__08_44_15__029093xujaljzgvp","PandaController_2019_08_11__13_43_29__538220tchgjwbcpz","PandaController_2019_08_11__14_54_44__896737sajfowubaj","PandaController_2019_08_11__12_01_14__539129fwkiflmbhc","Mean_over_grasps","Std_over_grasps"
"1.0","1.0","0.0","1.0","1.0","0.8","0.4"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1.0","0.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"1.0","0.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"1.0","1.0","0.0","0.0","1.0","0.6","0.48989794855663565"
"0.0","1.0","0.0","1.0","0.0","0.4","0.48989794855663565"
"0.0","1.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"1.0","0.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","1.0","0.0","1.0","0.0","0.4","0.48989794855663565"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","1.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","1.0","0.0","0.2","0.4"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","1.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","1.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","1.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1.0","0.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","1.0","0.0","0.0","1.0","0.4","0.48989794855663565"
"0.0","1.0","1.0","0.0","0.0","0.4","0.48989794855663565"
"0.0","0.0","1.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","1.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","1.0","0.0","0.2","0.4"
"0.0","0.0","0.0","1.0","1.0","0.4","0.48989794855663565"
"0.0","0.0","0.0","1.0","0.0","0.2","0.4"
"0.0","1.0","0.0","1.0","0.0","0.4","0.48989794855663565"
"0.0","0.0","0.0","0.0","1.0","0.2","0.4"
"0.0","0.0","1.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","0.0","2.0","0.4","0.8"
"0.0","1.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","1.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","1.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","1.0","0.0","1.0","0.0","0.4","0.48989794855663565"
"0.0","0.0","1.0","2.0","1.0","0.8","0.7483314773547883"
"0.0","0.0","0.0","1.0","0.0","0.2","0.4"
"0.0","3.0","0.0","0.0","0.0","0.6","1.2000000000000002"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","1.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","1.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","1.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","1.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","1.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","1.0","0.2","0.4"
"0.0","2.0","0.0","0.0","0.0","0.4","0.8000000000000002"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","1.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","1.0","0.0","0.2","0.4"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","1.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","1.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","1.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","1.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","1.0","1.0","0.0","0.4","0.48989794855663565"
"0.0","0.0","2.0","0.0","0.0","0.4","0.8000000000000002"
"0.0","0.0","1.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","1.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","1.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","1.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","2.0","0.4","0.8"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","2.0","0.0","0.0","0.4","0.8000000000000002"
"0.0","0.0","4.0","1.0","0.0","1.0","1.5491933384829668"
"0.0","1.0","1.0","0.0","0.0","0.4","0.48989794855663565"
"1.0","0.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","2.0","1.0","0.0","0.6","0.7999999999999999"
"4.0","0.0","0.0","1.0","0.0","1.0","1.5491933384829668"
"1.0","0.0","2.0","0.0","0.0","0.6","0.7999999999999999"
"0.0","0.0","3.0","1.0","0.0","0.8","1.1661903789690602"
"0.0","1.0","0.0","2.0","0.0","0.6","0.7999999999999999"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","2.0","1.0","0.0","0.6","0.7999999999999999"
"0.0","1.0","0.0","1.0","0.0","0.4","0.48989794855663565"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","1.0","0.0","0.0","0.2","0.4000000000000001"
"1.0","0.0","1.0","0.0","0.0","0.4","0.48989794855663565"
"0.0","0.0","1.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","2.0","0.0","0.0","0.4","0.8000000000000002"
"1.0","0.0","2.0","0.0","1.0","0.8","0.7483314773547883"
"2.0","1.0","0.0","0.0","0.0","0.6","0.7999999999999999"
"1.0","0.0","3.0","0.0","0.0","0.8","1.1661903789690604"
"1.0","0.0","2.0","0.0","2.0","1.0","0.8944271909999159"
"0.0","2.0","0.0","0.0","0.0","0.4","0.8000000000000002"
"0.0","3.0","1.0","0.0","0.0","0.8","1.1661903789690602"
"0.0","3.0","0.0","0.0","1.0","0.8","1.1661903789690602"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","3.0","0.0","1.0","0.8","1.1661903789690602"
"0.0","0.0","1.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","1.0","2.0","0.0","0.0","0.6","0.7999999999999999"
"0.0","1.0","0.0","0.0","1.0","0.4","0.48989794855663565"
"0.0","1.0","1.0","0.0","1.0","0.6","0.48989794855663565"
"0.0","0.0","1.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","0.0","1.0","0.2","0.4"
"0.0","2.0","1.0","0.0","0.0","0.6","0.7999999999999999"
"0.0","1.0","2.0","1.0","1.0","1.0","0.6324555320336759"
"1.0","0.0","1.0","0.0","0.0","0.4","0.48989794855663565"
"0.0","0.0","0.0","1.0","0.0","0.2","0.4"
"0.0","1.0","0.0","1.0","0.0","0.4","0.48989794855663565"
"0.0","0.0","0.0","0.0","1.0","0.2","0.4"
"1.0","0.0","0.0","1.0","0.0","0.4","0.48989794855663565"
"2.0","0.0","1.0","0.0","2.0","1.0","0.8944271909999159"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2.0","0.0","0.0","0.0","0.0","0.4","0.8000000000000002"
"1.0","1.0","1.0","0.0","0.0","0.6","0.48989794855663565"
"0.0","0.0","5.0","0.0","0.0","1.0","2.0"
"0.0","0.0","1.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","2.0","0.0","0.0","0.4","0.8000000000000002"
"0.0","0.0","2.0","0.0","0.0","0.4","0.8000000000000002"
"0.0","2.0","0.0","0.0","0.0","0.4","0.8000000000000002"
"0.0","2.0","0.0","0.0","0.0","0.4","0.8000000000000002"
"0.0","2.0","0.0","0.0","0.0","0.4","0.8000000000000002"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","1.0","0.2","0.4"
"0.0","0.0","0.0","1.0","1.0","0.4","0.48989794855663565"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","1.0","0.0","0.2","0.4"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1.0","1.0","0.0","1.0","0.0","0.6","0.48989794855663565"
"1.0","0.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","1.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","0.0","1.0","0.2","0.4"
"0.0","0.0","2.0","0.0","1.0","0.6","0.7999999999999999"
"0.0","0.0","0.0","1.0","0.0","0.2","0.4"
"0.0","0.0","1.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","1.0","0.0","2.0","0.6","0.7999999999999999"
"0.0","1.0","2.0","0.0","0.0","0.6","0.7999999999999999"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
