"PandaController_2019_08_11__15_19_02__148767vjuribgiiz","PandaController_2019_08_11__15_19_34__478560dcxzbosnrv","PandaController_2019_08_11__15_34_38__360623vyziwdnqsj","PandaController_2019_08_11__15_36_11__029089ybyhkobuwk","PandaController_2019_08_11__15_41_05__262730fzyxnprhgl","Mean_over_grasps","Std_over_grasps"
"0.0","1.0","0.0","18.0","0.0","3.8","7.11055553385247"
"0.0","2.0","0.0","25.0","0.0","5.4","9.830564581955606"
"0.0","0.0","0.0","20.0","0.0","4.0","8.0"
"0.0","1.0","0.0","21.0","0.0","4.4","8.309031231136396"
"0.0","2.0","0.0","25.0","0.0","5.4","9.830564581955606"
"0.0","2.0","0.0","20.0","0.0","4.4","7.83836717690617"
"0.0","0.0","0.0","20.0","0.0","4.0","8.0"
"1.0","0.0","0.0","25.0","0.0","5.2","9.907572861200668"
"0.0","0.0","0.0","18.0","0.0","3.6","7.2"
"0.0","0.0","0.0","17.0","0.0","3.4","6.8"
"0.0","0.0","0.0","17.0","0.0","3.4","6.8"
"0.0","0.0","0.0","16.0","0.0","3.2","6.4"
"1.0","0.0","0.0","14.0","0.0","3.0","5.513619500836088"
"0.0","0.0","0.0","15.0","0.0","3.0","6.0"
"0.0","0.0","0.0","18.0","0.0","3.6","7.2"
"0.0","0.0","0.0","18.0","0.0","3.6","7.2"
"0.0","0.0","0.0","15.0","0.0","3.0","6.0"
"0.0","0.0","0.0","17.0","0.0","3.4","6.8"
"0.0","0.0","0.0","10.0","0.0","2.0","4.0"
"0.0","0.0","0.0","18.0","0.0","3.6","7.2"
"0.0","0.0","0.0","11.0","0.0","2.2","4.4"
"0.0","0.0","0.0","15.0","0.0","3.0","6.0"
"0.0","0.0","0.0","15.0","0.0","3.0","6.0"
"0.0","0.0","0.0","13.0","0.0","2.6","5.2"
"0.0","0.0","0.0","11.0","0.0","2.2","4.4"
"5.0","0.0","0.0","15.0","0.0","4.0","5.830951894845301"
"1.0","0.0","0.0","20.0","0.0","4.2","7.909487973314076"
"1.0","0.0","0.0","13.0","0.0","2.8","5.1146847410177685"
"0.0","0.0","0.0","23.0","0.0","4.6","9.2"
"0.0","0.0","0.0","10.0","0.0","2.0","4.0"
"0.0","0.0","0.0","15.0","0.0","3.0","6.0"
"1.0","0.0","0.0","20.0","0.0","4.2","7.909487973314076"
"0.0","0.0","0.0","19.0","0.0","3.8","7.6000000000000005"
"0.0","0.0","0.0","26.0","0.0","5.2","10.4"
"0.0","0.0","0.0","17.0","0.0","3.4","6.8"
"0.0","0.0","0.0","16.0","0.0","3.2","6.4"
"0.0","0.0","0.0","19.0","0.0","3.8","7.6000000000000005"
"0.0","0.0","0.0","15.0","0.0","3.0","6.0"
"0.0","0.0","0.0","8.0","0.0","1.6","3.2"
"1.0","0.0","0.0","16.0","0.0","3.4","6.3118935352238"
"0.0","0.0","0.0","10.0","0.0","2.0","4.0"
"0.0","0.0","0.0","5.0","0.0","1.0","2.0"
"0.0","0.0","0.0","18.0","0.0","3.6","7.2"
"0.0","0.0","0.0","21.0","0.0","4.2","8.4"
"0.0","0.0","0.0","11.0","1.0","2.4","4.31740662898458"
"0.0","0.0","0.0","14.0","0.0","2.8","5.6"
"0.0","0.0","0.0","12.0","0.0","2.4","4.8"
"0.0","0.0","0.0","16.0","0.0","3.2","6.4"
"0.0","0.0","0.0","18.0","1.0","3.8","7.11055553385247"
"0.0","0.0","0.0","14.0","1.0","3.0","5.513619500836088"
"0.0","0.0","0.0","19.0","0.0","3.8","7.6000000000000005"
"0.0","0.0","0.0","16.0","0.0","3.2","6.4"
"0.0","0.0","0.0","7.0","0.0","1.4","2.8"
"0.0","0.0","0.0","10.0","0.0","2.0","4.0"
"0.0","0.0","0.0","12.0","1.0","2.6","4.715930449020639"
"0.0","0.0","0.0","13.0","0.0","2.6","5.2"
"0.0","0.0","0.0","10.0","0.0","2.0","4.0"
"0.0","0.0","0.0","16.0","1.0","3.4","6.3118935352238"
"0.0","0.0","0.0","19.0","2.0","4.2","7.4404300950953095"
"0.0","0.0","0.0","10.0","0.0","2.0","4.0"
"0.0","0.0","0.0","9.0","1.0","2.0","3.521363372331802"
"0.0","0.0","0.0","14.0","0.0","2.8","5.6"
"1.0","0.0","0.0","18.0","0.0","3.8","7.11055553385247"
"0.0","0.0","0.0","14.0","0.0","2.8","5.6"
"0.0","0.0","0.0","23.0","1.0","4.8","9.10823802938856"
"0.0","0.0","0.0","16.0","2.0","3.6","6.248199740725324"
"0.0","1.0","0.0","18.0","2.0","4.2","6.939740629158989"
"0.0","0.0","0.0","24.0","0.0","4.8","9.6"
"0.0","0.0","0.0","25.0","0.0","5.0","10.0"
"0.0","0.0","0.0","18.0","0.0","3.6","7.2"
"0.0","0.0","0.0","25.0","0.0","5.0","10.0"
"0.0","0.0","0.0","21.0","0.0","4.2","8.4"
"0.0","0.0","0.0","20.0","0.0","4.0","8.0"
"0.0","0.0","0.0","17.0","0.0","3.4","6.8"
"0.0","0.0","0.0","25.0","0.0","5.0","10.0"
"0.0","0.0","0.0","23.0","0.0","4.6","9.2"
"0.0","0.0","0.0","30.0","0.0","6.0","12.0"
"0.0","0.0","0.0","21.0","0.0","4.2","8.4"
"0.0","1.0","0.0","14.0","0.0","3.0","5.513619500836088"
"0.0","3.0","0.0","12.0","0.0","3.0","4.6475800154489"
"0.0","0.0","0.0","17.0","0.0","3.4","6.8"
"0.0","1.0","0.0","23.0","0.0","4.8","9.10823802938856"
"0.0","1.0","0.0","20.0","0.0","4.2","7.909487973314076"
"0.0","0.0","0.0","26.0","0.0","5.2","10.4"
"0.0","0.0","0.0","22.0","0.0","4.4","8.8"
"0.0","0.0","0.0","14.0","0.0","2.8","5.6"
"0.0","0.0","0.0","28.0","0.0","5.6","11.2"
"0.0","0.0","0.0","23.0","0.0","4.6","9.2"
"0.0","0.0","0.0","35.0","0.0","7.0","14.0"
"0.0","0.0","0.0","25.0","0.0","5.0","10.0"
"0.0","0.0","0.0","28.0","0.0","5.6","11.2"
"0.0","0.0","0.0","17.0","0.0","3.4","6.8"
"0.0","0.0","0.0","27.0","0.0","5.4","10.8"
"0.0","0.0","0.0","34.0","0.0","6.8","13.6"
"0.0","0.0","0.0","24.0","0.0","4.8","9.6"
"0.0","0.0","0.0","29.0","0.0","5.8","11.6"
"0.0","0.0","0.0","26.0","0.0","5.2","10.4"
"0.0","0.0","0.0","18.0","0.0","3.6","7.2"
"0.0","0.0","0.0","31.0","0.0","6.2","12.400000000000002"
"0.0","0.0","0.0","36.0","0.0","7.2","14.4"
"0.0","0.0","0.0","31.0","0.0","6.2","12.400000000000002"
"0.0","0.0","0.0","25.0","0.0","5.0","10.0"
"0.0","0.0","0.0","26.0","0.0","5.2","10.4"
"0.0","0.0","0.0","21.0","0.0","4.2","8.4"
"0.0","0.0","0.0","29.0","0.0","5.8","11.6"
"0.0","0.0","0.0","29.0","0.0","5.8","11.6"
"0.0","0.0","0.0","28.0","0.0","5.6","11.2"
"0.0","0.0","0.0","18.0","0.0","3.6","7.2"
"0.0","0.0","0.0","34.0","0.0","6.8","13.6"
"0.0","0.0","0.0","36.0","0.0","7.2","14.4"
"0.0","0.0","0.0","32.0","0.0","6.4","12.8"
"0.0","0.0","0.0","25.0","1.0","5.2","9.907572861200668"
"0.0","0.0","0.0","19.0","0.0","3.8","7.6000000000000005"
"0.0","0.0","0.0","15.0","0.0","3.0","6.0"
"0.0","0.0","0.0","23.0","0.0","4.6","9.2"
"0.0","0.0","0.0","25.0","0.0","5.0","10.0"
"0.0","0.0","0.0","16.0","0.0","3.2","6.4"
"0.0","0.0","0.0","23.0","0.0","4.6","9.2"
"0.0","0.0","1.0","28.0","0.0","5.8","11.106754701531855"
"0.0","0.0","0.0","26.0","0.0","5.2","10.4"
"0.0","0.0","1.0","33.0","0.0","6.8","13.105723940324701"
"0.0","0.0","1.0","31.0","0.0","6.4","12.30609605033213"
"0.0","0.0","0.0","34.0","0.0","6.8","13.6"
"0.0","0.0","3.0","31.0","0.0","6.8","12.155657119218196"
"0.0","0.0","3.0","29.0","0.0","6.4","11.359577456930342"
"0.0","0.0","3.0","24.0","0.0","5.4","9.372299611087985"
"0.0","0.0","1.0","29.0","0.0","6.0","11.50651989091402"
"0.0","0.0","1.0","29.0","0.0","6.0","11.50651989091402"
"0.0","0.0","1.0","29.0","0.0","6.0","11.50651989091402"
"0.0","0.0","4.0","28.0","0.0","6.4","10.910545357588687"
"0.0","0.0","5.0","34.0","0.0","7.8","13.242356285797479"
"0.0","0.0","5.0","23.0","0.0","5.6","8.912911982062877"
"0.0","0.0","4.0","21.0","0.0","5.0","8.148619514985345"
"0.0","0.0","6.0","29.0","0.0","7.0","11.242775458044157"
"0.0","0.0","2.0","34.0","0.0","7.2","13.422369388450015"
"0.0","0.0","9.0","35.0","0.0","8.8","13.555810562264433"
"0.0","0.0","6.0","22.0","0.0","5.6","8.522910301065007"
"0.0","0.0","4.0","25.0","0.0","5.8","9.724196624914574"
"0.0","0.0","7.0","30.0","0.0","7.4","11.62067123706716"
"0.0","0.0","4.0","33.0","0.0","7.4","12.89340916902896"
"0.0","0.0","9.0","36.0","0.0","9.0","13.942740046346701"
"0.0","0.0","11.0","28.0","0.0","7.8","10.961751684835777"
"0.0","0.0","8.0","36.0","0.0","8.8","13.948476619330155"
"0.0","0.0","11.0","35.0","0.0","9.2","13.585286158193357"
"0.0","0.0","15.0","32.0","0.0","9.4","12.705904139414873"
"0.0","0.0","11.0","27.0","0.0","7.6","10.594338110519221"
"0.0","0.0","11.0","31.0","0.0","8.4","12.076423311560422"
"0.0","0.0","12.0","37.0","0.0","9.8","14.372195378577345"
"0.0","0.0","15.0","28.0","0.0","8.6","11.306635220082056"
"0.0","0.0","14.0","27.0","0.0","8.2","10.85172797300043"
"0.0","1.0","22.0","23.0","1.0","9.4","10.707007051459339"
"0.0","0.0","20.0","29.0","1.0","10.0","12.181953866272849"
"0.0","0.0","24.0","34.0","0.0","11.6","14.554724318928201"
"0.0","0.0","23.0","27.0","0.0","10.0","12.312595177297109"
"0.0","0.0","28.0","32.0","1.0","12.2","14.593149077563758"
"0.0","0.0","21.0","23.0","1.0","9.0","10.639548862616309"
"0.0","0.0","27.0","24.0","0.0","10.2","12.528367810692659"
"0.0","0.0","20.0","25.0","1.0","9.2","10.979981785048643"
"0.0","0.0","25.0","20.0","1.0","9.2","10.979981785048643"
"0.0","1.0","20.0","26.0","4.0","10.2","10.703270528207721"
"0.0","0.0","34.0","29.0","5.0","13.6","14.813507349712964"
"0.0","0.0","12.0","33.0","1.0","9.2","12.734205903785286"
"0.0","0.0","23.0","21.0","2.0","9.2","10.49571341072154"
"0.0","0.0","14.0","25.0","4.0","8.6","9.666436778875656"
"0.0","0.0","25.0","28.0","7.0","12.0","12.149074038789951"
"0.0","1.0","24.0","30.0","6.0","12.2","12.4"
"0.0","0.0","31.0","22.0","4.0","11.4","12.737346662472527"
"0.0","0.0","30.0","17.0","6.0","10.6","11.516944039110374"
"0.0","0.0","24.0","24.0","7.0","11.0","10.917875251164945"
"0.0","0.0","29.0","22.0","8.0","11.8","11.77115117564973"
"0.0","0.0","33.0","14.0","11.0","11.6","12.109500402576483"
"0.0","0.0","17.0","32.0","9.0","11.6","12.009995836801943"
"0.0","0.0","16.0","30.0","8.0","10.8","11.285388783732708"
"0.0","0.0","24.0","34.0","5.0","12.6","13.879481258317977"
"0.0","0.0","25.0","31.0","12.0","13.6","12.690153663372243"
"0.0","0.0","28.0","26.0","11.0","13.0","12.13260071048248"
"0.0","1.0","22.0","25.0","8.0","11.2","10.457533169921097"
"0.0","0.0","31.0","21.0","16.0","13.6","12.109500402576481"
"0.0","0.0","20.0","30.0","16.0","13.2","11.702991070662236"
"0.0","1.0","24.0","33.0","14.0","14.4","12.84678948220138"
"0.0","2.0","16.0","30.0","18.0","13.2","11.070682002478437"
"0.0","0.0","21.0","33.0","17.0","14.2","12.734205903785286"
"0.0","0.0","24.0","28.0","21.0","14.6","12.126005112979296"
"0.0","1.0","19.0","32.0","17.0","13.8","12.023310692151309"
"0.0","2.0","24.0","29.0","14.0","13.8","11.53082824431966"
"0.0","1.0","28.0","34.0","14.0","15.4","13.792751719653335"
"0.0","1.0","29.0","26.0","23.0","15.8","12.63962024745997"
"0.0","0.0","35.0","36.0","21.0","18.4","15.932357013323546"
"0.0","1.0","36.0","35.0","15.0","17.4","15.704776343520464"
"0.0","1.0","31.0","26.0","11.0","13.8","12.702755606560334"
"0.0","3.0","30.0","29.0","16.0","15.6","12.563439019631527"
"0.0","0.0","37.0","35.0","25.0","19.4","16.353592877407706"
"0.0","1.0","31.0","31.0","31.0","18.8","14.945233353815523"
"0.0","0.0","35.0","28.0","17.0","16.0","14.268847185389575"
"0.0","2.0","40.0","27.0","23.0","18.4","15.291827882892221"
"0.0","7.0","21.0","28.0","18.0","14.8","10.02796090937734"
"0.0","3.0","23.0","29.0","23.0","15.6","11.757550765359255"
"0.0","2.0","35.0","33.0","25.0","19.0","15.086417732516887"
"0.0","7.0","30.0","33.0","17.0","17.4","12.753038853543888"
"0.0","3.0","36.0","18.0","16.0","14.6","12.8"
"0.0","7.0","33.0","23.0","12.0","15.0","11.713240371477058"
"0.0","2.0","36.0","22.0","16.0","15.2","13.302631318652713"
"0.0","6.0","35.0","35.0","18.0","18.8","14.441606558828559"
"0.0","6.0","34.0","28.0","17.0","17.0","12.806248474865697"
"0.0","5.0","39.0","29.0","24.0","19.4","14.705101155721438"
"0.0","6.0","28.0","38.0","33.0","21.0","15.152557539900648"
"0.0","11.0","39.0","26.0","25.0","20.2","13.43726162579266"
"0.0","9.0","25.0","24.0","32.0","18.0","11.713240371477058"
"0.0","11.0","38.0","26.0","25.0","20.0","13.16054710108968"
"0.0","14.0","44.0","30.0","21.0","21.8","14.810806865258895"
"0.0","15.0","44.0","28.0","23.0","22.0","14.51895313030523"
"0.0","13.0","43.0","30.0","19.0","21.0","14.656056768449009"
"0.0","16.0","32.0","25.0","20.0","18.6","10.725670142233538"
"0.0","16.0","43.0","20.0","21.0","20.0","13.754999091239519"
"0.0","21.0","38.0","26.0","15.0","20.0","12.537942414925983"
"0.0","15.0","37.0","32.0","16.0","20.0","13.221195104830729"
"0.0","20.0","40.0","27.0","19.0","21.2","12.983065893693986"
"0.0","18.0","29.0","24.0","15.0","17.2","9.867117106835208"
"0.0","17.0","34.0","18.0","18.0","17.4","10.762899237658969"
"0.0","21.0","36.0","21.0","28.0","21.2","11.956588142108098"
"0.0","16.0","34.0","29.0","21.0","20.0","11.781341180018513"
"0.0","20.0","34.0","30.0","17.0","20.2","11.872657663724663"
"0.0","20.0","38.0","21.0","21.0","20.0","12.049896265113654"
"0.0","19.0","26.0","27.0","17.0","17.8","9.703607576566563"
"0.0","22.0","26.0","24.0","16.0","17.6","9.414881836751857"
