"PandaController_2019_08_11__07_01_34__167031hpgggtlboa","PandaController_2019_08_11__10_10_55__066820irbqdccwic","PandaController_2019_08_11__13_45_46__951166yonbfuxuse","PandaController_2019_08_11__15_00_58__016745rvhfwqxqpa","PandaController_2019_08_11__12_19_54__819248lvmwilclox","Mean_over_grasps","Std_over_grasps"
"1.0","1.0","0.0","0.0","0.0","0.4","0.48989794855663565"
"1.0","0.0","0.0","0.0","2.0","0.6","0.7999999999999999"
"1.0","0.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","1.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","3.0","0.0","0.0","1.0","0.8","1.1661903789690602"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","1.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2.0","1.0","0.0","1.0","0.0","0.8","0.7483314773547883"
"0.0","0.0","0.0","0.0","2.0","0.4","0.8"
"0.0","0.0","0.0","0.0","1.0","0.2","0.4"
"0.0","0.0","0.0","0.0","3.0","0.6","1.2"
"0.0","0.0","0.0","0.0","1.0","0.2","0.4"
"0.0","0.0","0.0","0.0","5.0","1.0","2.0"
"0.0","0.0","0.0","0.0","4.0","0.8","1.6"
"0.0","0.0","0.0","0.0","1.0","0.2","0.4"
"0.0","0.0","0.0","0.0","2.0","0.4","0.8"
"0.0","1.0","0.0","0.0","3.0","0.8","1.1661903789690602"
"0.0","0.0","0.0","0.0","1.0","0.2","0.4"
"0.0","0.0","0.0","0.0","4.0","0.8","1.6"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","2.0","0.4","0.8"
"1.0","0.0","0.0","0.0","6.0","1.4","2.33238075793812"
"0.0","0.0","0.0","0.0","3.0","0.6","1.2"
"0.0","0.0","0.0","0.0","4.0","0.8","1.6"
"0.0","0.0","0.0","1.0","0.0","0.2","0.4"
"1.0","0.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","0.0","1.0","0.2","0.4"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
