"PandaController_2019_07_11__04_22_12__463949axucqtuhun","PandaController_2019_07_11__07_52_35__792458blpwiaskud","PandaController_2019_08_11__08_38_47__735509zcglqsaenn","PandaController_2019_08_11__11_34_05__216181wrezbfoqef","PandaController_2019_08_11__13_28_46__876978roceimuexi","Mean_over_grasps","Std_over_grasps"
"0.0","35.0","1.0","0.0","0.0","7.2","13.905394636614957"
"1.0","57.0","0.0","0.0","0.0","11.6","22.703303724348135"
"0.0","35.0","6.0","0.0","0.0","8.2","13.6"
"0.0","52.0","3.0","0.0","0.0","11.0","20.53290042833696"
"0.0","51.0","1.0","0.0","2.0","10.8","20.113676938839404"
"0.0","59.0","0.0","0.0","1.0","12.0","23.50319127267614"
"0.0","44.0","1.0","0.0","0.0","9.0","17.504285189632853"
"0.0","40.0","3.0","0.0","0.0","8.6","15.74293492332354"
"0.0","51.0","2.0","0.0","0.0","10.6","20.214846029589243"
"0.0","54.0","4.0","0.0","0.0","11.6","21.256528408938276"
"0.0","49.0","4.0","0.0","0.0","10.6","19.262398604535207"
"1.0","66.0","4.0","0.0","0.0","14.2","25.941472587345533"
"0.0","55.0","1.0","0.0","0.0","11.2","21.90342438980718"
"0.0","52.0","2.0","0.0","0.0","10.8","20.614557962760205"
"0.0","53.0","0.0","0.0","0.0","10.6","21.2"
"0.0","50.0","0.0","0.0","0.0","10.0","20.0"
"1.0","50.0","0.0","0.0","0.0","10.2","19.903768487399564"
"0.0","43.0","0.0","0.0","0.0","8.6","17.2"
"1.0","51.0","0.0","0.0","0.0","10.4","20.30369424513677"
"0.0","48.0","0.0","0.0","0.0","9.6","19.200000000000003"
"0.0","47.0","0.0","0.0","0.0","9.4","18.800000000000004"
"0.0","53.0","0.0","0.0","0.0","10.6","21.2"
"0.0","47.0","0.0","0.0","0.0","9.4","18.800000000000004"
"0.0","45.0","0.0","0.0","0.0","9.0","18.0"
"0.0","37.0","0.0","0.0","0.0","7.4","14.8"
"0.0","43.0","0.0","0.0","0.0","8.6","17.2"
"2.0","57.0","0.0","0.0","0.0","11.8","22.61327044016411"
"0.0","62.0","0.0","0.0","0.0","12.4","24.800000000000004"
"0.0","50.0","0.0","0.0","0.0","10.0","20.0"
"0.0","65.0","0.0","0.0","0.0","13.0","26.0"
"0.0","55.0","0.0","0.0","0.0","11.0","22.0"
"0.0","53.0","0.0","0.0","0.0","10.6","21.2"
"0.0","44.0","0.0","0.0","0.0","8.8","17.6"
"0.0","52.0","0.0","0.0","0.0","10.4","20.8"
"0.0","60.0","0.0","0.0","0.0","12.0","24.0"
"0.0","51.0","0.0","0.0","0.0","10.2","20.4"
"0.0","53.0","0.0","0.0","0.0","10.6","21.2"
"0.0","55.0","0.0","0.0","0.0","11.0","22.0"
"0.0","59.0","0.0","0.0","0.0","11.8","23.599999999999994"
"0.0","54.0","0.0","0.0","0.0","10.8","21.6"
"0.0","61.0","0.0","0.0","0.0","12.2","24.4"
"0.0","52.0","0.0","0.0","0.0","10.4","20.8"
"0.0","67.0","0.0","0.0","0.0","13.4","26.8"
"0.0","52.0","0.0","0.0","0.0","10.4","20.8"
"0.0","53.0","0.0","0.0","0.0","10.6","21.2"
"0.0","53.0","0.0","0.0","0.0","10.6","21.2"
"0.0","48.0","0.0","0.0","0.0","9.6","19.200000000000003"
"0.0","58.0","0.0","0.0","0.0","11.6","23.2"
"1.0","53.0","0.0","0.0","0.0","10.8","21.103554203024665"
"0.0","54.0","0.0","0.0","0.0","10.8","21.6"
"0.0","42.0","0.0","0.0","0.0","8.4","16.799999999999997"
"0.0","44.0","0.0","0.0","0.0","8.8","17.6"
"0.0","54.0","0.0","0.0","0.0","10.8","21.6"
"1.0","54.0","0.0","0.0","0.0","11.0","21.50348808914498"
"0.0","43.0","0.0","0.0","0.0","8.6","17.2"
"0.0","41.0","0.0","0.0","0.0","8.2","16.4"
"0.0","55.0","0.0","0.0","0.0","11.0","22.0"
"0.0","37.0","0.0","0.0","0.0","7.4","14.8"
"1.0","52.0","0.0","0.0","0.0","10.6","20.703622871372055"
"0.0","37.0","0.0","0.0","0.0","7.4","14.8"
"0.0","41.0","0.0","0.0","0.0","8.2","16.4"
"0.0","47.0","0.0","0.0","0.0","9.4","18.800000000000004"
"0.0","53.0","0.0","0.0","0.0","10.6","21.2"
"0.0","56.0","0.0","0.0","0.0","11.2","22.4"
"0.0","60.0","0.0","0.0","0.0","12.0","24.0"
"0.0","56.0","0.0","0.0","0.0","11.2","22.4"
"0.0","60.0","0.0","0.0","0.0","12.0","24.0"
"0.0","63.0","0.0","0.0","0.0","12.6","25.200000000000003"
"0.0","55.0","0.0","0.0","0.0","11.0","22.0"
"0.0","63.0","0.0","0.0","0.0","12.6","25.200000000000003"
"0.0","53.0","0.0","0.0","0.0","10.6","21.2"
"0.0","70.0","0.0","0.0","0.0","14.0","28.0"
"0.0","57.0","0.0","0.0","0.0","11.4","22.8"
"0.0","56.0","0.0","0.0","0.0","11.2","22.4"
"0.0","44.0","0.0","0.0","0.0","8.8","17.6"
"0.0","66.0","0.0","0.0","0.0","13.2","26.399999999999995"
"0.0","41.0","0.0","0.0","0.0","8.2","16.4"
"0.0","59.0","0.0","0.0","0.0","11.8","23.599999999999994"
"0.0","43.0","0.0","0.0","0.0","8.6","17.2"
"0.0","41.0","0.0","0.0","1.0","8.4","16.304600577751053"
"0.0","47.0","0.0","0.0","0.0","9.4","18.800000000000004"
"0.0","30.0","0.0","0.0","0.0","6.0","12.0"
"0.0","40.0","0.0","0.0","0.0","8.0","16.0"
"0.0","47.0","0.0","0.0","0.0","9.4","18.800000000000004"
"0.0","42.0","0.0","0.0","2.0","8.8","16.618062462272793"
"0.0","48.0","0.0","0.0","0.0","9.6","19.200000000000003"
"0.0","36.0","0.0","0.0","2.0","7.6","14.22111106770494"
"0.0","48.0","0.0","0.0","1.0","9.8","19.103926298015285"
"0.0","46.0","0.0","0.0","0.0","9.2","18.399999999999995"
"0.0","41.0","0.0","0.0","0.0","8.2","16.4"
"0.0","54.0","0.0","0.0","0.0","10.8","21.6"
"0.0","50.0","0.0","0.0","0.0","10.0","20.0"
"0.0","48.0","0.0","0.0","1.0","9.8","19.103926298015285"
"0.0","38.0","0.0","0.0","1.0","7.8","15.104966070799364"
"0.0","34.0","0.0","0.0","0.0","6.8","13.6"
"0.0","49.0","0.0","0.0","0.0","9.8","19.6"
"0.0","36.0","0.0","0.0","1.0","7.4","14.305243793798134"
"0.0","31.0","0.0","0.0","0.0","6.2","12.400000000000002"
"0.0","38.0","0.0","0.0","0.0","7.6","15.200000000000001"
"0.0","32.0","0.0","0.0","0.0","6.4","12.800000000000002"
"0.0","43.0","0.0","1.0","0.0","8.8","17.10438540258024"
"0.0","51.0","0.0","0.0","0.0","10.2","20.4"
"0.0","44.0","0.0","0.0","0.0","8.8","17.6"
"0.0","48.0","0.0","0.0","0.0","9.6","19.200000000000003"
"0.0","57.0","0.0","0.0","0.0","11.4","22.8"
"0.0","47.0","0.0","0.0","0.0","9.4","18.800000000000004"
"0.0","48.0","0.0","0.0","0.0","9.6","19.200000000000003"
"0.0","51.0","0.0","0.0","0.0","10.2","20.4"
"0.0","48.0","0.0","0.0","0.0","9.6","19.200000000000003"
"0.0","47.0","0.0","0.0","0.0","9.4","18.800000000000004"
"0.0","40.0","0.0","0.0","0.0","8.0","16.0"
"0.0","42.0","0.0","0.0","0.0","8.4","16.799999999999997"
"0.0","55.0","0.0","0.0","0.0","11.0","22.0"
"0.0","38.0","0.0","0.0","0.0","7.6","15.200000000000001"
"0.0","49.0","0.0","0.0","0.0","9.8","19.6"
"0.0","57.0","0.0","0.0","0.0","11.4","22.8"
"0.0","49.0","0.0","0.0","0.0","9.8","19.6"
"0.0","50.0","0.0","0.0","0.0","10.0","20.0"
"0.0","63.0","0.0","0.0","0.0","12.6","25.200000000000003"
"0.0","51.0","0.0","0.0","0.0","10.2","20.4"
"0.0","53.0","0.0","0.0","0.0","10.6","21.2"
"0.0","66.0","0.0","0.0","0.0","13.2","26.399999999999995"
"0.0","60.0","0.0","0.0","0.0","12.0","24.0"
"0.0","68.0","0.0","0.0","0.0","13.6","27.2"
"0.0","48.0","0.0","0.0","0.0","9.6","19.200000000000003"
"0.0","61.0","0.0","0.0","0.0","12.2","24.4"
"0.0","53.0","0.0","0.0","0.0","10.6","21.2"
"0.0","53.0","0.0","0.0","0.0","10.6","21.2"
"0.0","58.0","0.0","0.0","0.0","11.6","23.2"
"0.0","58.0","0.0","0.0","0.0","11.6","23.2"
"0.0","58.0","0.0","0.0","0.0","11.6","23.2"
"0.0","53.0","0.0","0.0","0.0","10.6","21.2"
"0.0","69.0","0.0","0.0","0.0","13.8","27.6"
"0.0","53.0","0.0","0.0","0.0","10.6","21.2"
"0.0","54.0","0.0","0.0","0.0","10.8","21.6"
"0.0","54.0","0.0","0.0","0.0","10.8","21.6"
"1.0","62.0","1.0","0.0","0.0","12.8","24.604064704840948"
"0.0","54.0","0.0","0.0","0.0","10.8","21.6"
"0.0","58.0","0.0","0.0","0.0","11.6","23.2"
"0.0","48.0","0.0","0.0","0.0","9.6","19.200000000000003"
"0.0","59.0","0.0","0.0","0.0","11.8","23.599999999999994"
"0.0","60.0","0.0","0.0","0.0","12.0","24.0"
"0.0","65.0","0.0","0.0","0.0","13.0","26.0"
"0.0","56.0","0.0","0.0","0.0","11.2","22.4"
"0.0","58.0","0.0","0.0","0.0","11.6","23.2"
"0.0","52.0","0.0","1.0","0.0","10.6","20.703622871372055"
"0.0","50.0","0.0","0.0","0.0","10.0","20.0"
"0.0","61.0","0.0","0.0","0.0","12.2","24.4"
"0.0","48.0","0.0","1.0","0.0","9.8","19.103926298015285"
"0.0","49.0","0.0","1.0","0.0","10.0","19.503845774615836"
"1.0","52.0","0.0","1.0","0.0","10.8","20.604853797103246"
"0.0","47.0","0.0","0.0","0.0","9.4","18.800000000000004"
"0.0","45.0","0.0","0.0","0.0","9.0","18.0"
"0.0","53.0","0.0","0.0","0.0","10.6","21.2"
"0.0","58.0","0.0","0.0","0.0","11.6","23.2"
"0.0","53.0","0.0","0.0","0.0","10.6","21.2"
"0.0","57.0","0.0","0.0","0.0","11.4","22.8"
"0.0","52.0","0.0","0.0","0.0","10.4","20.8"
"0.0","52.0","0.0","0.0","0.0","10.4","20.8"
"0.0","53.0","0.0","0.0","0.0","10.6","21.2"
"0.0","44.0","0.0","0.0","0.0","8.8","17.6"
"0.0","62.0","0.0","0.0","0.0","12.4","24.800000000000004"
"0.0","60.0","0.0","0.0","0.0","12.0","24.0"
"0.0","55.0","0.0","0.0","0.0","11.0","22.0"
"0.0","52.0","0.0","0.0","0.0","10.4","20.8"
"0.0","51.0","0.0","0.0","0.0","10.2","20.4"
"0.0","66.0","0.0","0.0","0.0","13.2","26.399999999999995"
"0.0","54.0","0.0","0.0","0.0","10.8","21.6"
"0.0","74.0","0.0","0.0","0.0","14.8","29.6"
"0.0","63.0","0.0","0.0","0.0","12.6","25.200000000000003"
"0.0","42.0","0.0","0.0","0.0","8.4","16.799999999999997"
"0.0","49.0","0.0","0.0","0.0","9.8","19.6"
"0.0","49.0","0.0","0.0","0.0","9.8","19.6"
"0.0","67.0","0.0","0.0","0.0","13.4","26.8"
"0.0","56.0","0.0","0.0","0.0","11.2","22.4"
"0.0","60.0","0.0","0.0","0.0","12.0","24.0"
"0.0","56.0","0.0","0.0","0.0","11.2","22.4"
"0.0","61.0","0.0","0.0","0.0","12.2","24.4"
"0.0","63.0","0.0","0.0","0.0","12.6","25.200000000000003"
"0.0","57.0","0.0","0.0","0.0","11.4","22.8"
"0.0","62.0","0.0","0.0","0.0","12.4","24.800000000000004"
"0.0","50.0","0.0","0.0","0.0","10.0","20.0"
"0.0","48.0","0.0","0.0","0.0","9.6","19.200000000000003"
"0.0","60.0","0.0","0.0","0.0","12.0","24.0"
"0.0","44.0","0.0","1.0","0.0","9.0","17.504285189632853"
"0.0","57.0","0.0","0.0","0.0","11.4","22.8"
"0.0","55.0","0.0","0.0","0.0","11.0","22.0"
"0.0","61.0","0.0","0.0","0.0","12.2","24.4"
"0.0","63.0","0.0","0.0","0.0","12.6","25.200000000000003"
"0.0","47.0","0.0","0.0","0.0","9.4","18.800000000000004"
"0.0","53.0","0.0","1.0","0.0","10.8","21.103554203024665"
"0.0","66.0","0.0","0.0","0.0","13.2","26.399999999999995"
"0.0","75.0","0.0","0.0","0.0","15.0","30.0"
"0.0","62.0","0.0","0.0","0.0","12.4","24.800000000000004"
"0.0","61.0","0.0","0.0","0.0","12.2","24.4"
"0.0","42.0","0.0","0.0","0.0","8.4","16.799999999999997"
"0.0","55.0","0.0","0.0","0.0","11.0","22.0"
"0.0","54.0","0.0","0.0","0.0","10.8","21.6"
"0.0","52.0","1.0","0.0","1.0","10.8","20.604853797103246"
"0.0","60.0","1.0","0.0","0.0","12.2","23.90313786932586"
"0.0","61.0","0.0","0.0","0.0","12.2","24.4"
"0.0","68.0","0.0","0.0","0.0","13.6","27.2"
"0.0","56.0","0.0","0.0","1.0","11.4","22.303362975121036"
"0.0","52.0","0.0","0.0","0.0","10.4","20.8"
"0.0","59.0","0.0","0.0","2.0","12.2","23.412817002659036"
"0.0","51.0","0.0","0.0","0.0","10.2","20.4"
"0.0","64.0","0.0","0.0","0.0","12.8","25.600000000000005"
"0.0","61.0","0.0","0.0","0.0","12.2","24.4"
"0.0","63.0","0.0","0.0","1.0","12.8","25.10298786997277"
"0.0","74.0","0.0","0.0","1.0","15.0","29.50254226333724"
"0.0","75.0","0.0","0.0","1.0","15.2","29.902508255997525"
"0.0","60.0","0.0","0.0","1.0","12.2","23.90313786932586"
"0.0","55.0","0.0","0.0","1.0","11.2","21.903424389807178"
"0.0","64.0","0.0","0.0","1.0","13.0","25.502941006872128"
"0.0","73.0","0.0","0.0","3.0","15.2","28.92334697091607"
"0.0","46.0","1.0","0.0","1.0","9.6","18.20549367636044"
"0.0","58.0","0.0","0.0","1.0","11.8","23.103246525109842"
"0.0","69.0","0.0","0.0","2.0","14.2","27.410946718418902"
"0.0","56.0","0.0","0.0","5.0","12.2","21.985449733858072"
"0.0","54.0","0.0","0.0","3.0","11.4","21.331666601557416"
"0.0","49.0","0.0","0.0","2.0","10.2","19.415457759218555"
"0.0","62.0","0.0","0.0","1.0","12.6","24.703036250631218"
"0.0","52.0","0.0","0.0","1.0","10.6","20.70362287137205"
"0.0","58.0","0.0","0.0","2.0","12.0","23.01303978182804"
"0.0","63.0","0.0","0.0","1.0","12.8","25.10298786997277"
"0.0","68.0","0.0","0.0","0.0","13.6","27.2"
"0.0","66.0","0.0","0.0","3.0","13.8","26.12584926849269"
"0.0","65.0","0.0","0.0","1.0","13.2","25.90289559103383"
"0.0","41.0","0.0","0.0","1.0","8.4","16.304600577751053"
"0.0","64.0","0.0","0.0","2.0","13.2","25.411808278829742"
"0.0","60.0","0.0","0.0","2.0","12.4","23.81260170581955"
"0.0","59.0","1.0","0.0","1.0","12.2","23.404273114113156"
"0.0","70.0","0.0","0.0","2.0","14.4","27.810789273229915"
"0.0","53.0","0.0","0.0","0.0","10.6","21.2"
"0.0","59.0","0.0","0.0","2.0","12.2","23.412817002659036"
"0.0","66.0","0.0","0.0","7.0","14.6","25.84260048834095"
"0.0","63.0","0.0","0.0","5.0","13.6","24.77579463912308"
"0.0","58.0","0.0","0.0","6.0","12.8","22.719154913860685"
"0.0","60.0","1.0","0.0","8.0","13.8","23.29291737846507"
"0.0","55.0","0.0","0.0","7.0","12.4","21.471842026244513"
"0.0","52.0","1.0","0.0","4.0","11.4","20.352886773133683"
"0.0","51.0","0.0","0.0","3.0","10.8","20.133554082675023"
"0.0","58.0","1.0","0.0","9.0","13.6","22.455288909297067"
"0.0","62.0","0.0","0.0","8.0","14.0","24.19917353960668"
"0.0","59.0","2.0","0.0","7.0","13.6","22.843817544359784"
"0.0","60.0","0.0","0.0","9.0","13.8","23.361506800718143"
"0.0","56.0","1.0","0.0","8.0","13.0","21.707141681944215"
"0.0","61.0","1.0","0.0","10.0","14.4","23.60169485439552"
"0.0","49.0","1.0","0.0","9.0","11.8","18.903967837467352"
